"Origin","Rename"
"COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I","Pathway28"
"COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis","Pathway29"
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis","Pathway30"
"CRNFORCAT.PWY..creatinine.degradation.I","Pathway31"
"DAPLYSINESYN.PWY..L.lysine.biosynthesis.I","Pathway32"
"DENITRIFICATION.PWY..nitrate.reduction.I..denitrification.","Pathway33"
"DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II","Pathway34"
"DHGLUCONATE.PYR.CAT.PWY..glucose.degradation..oxidative.","Pathway35"
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I","Pathway36"
"ECASYN.PWY..enterobacterial.common.antigen.biosynthesis","Pathway37"
"ENTBACSYN.PWY..enterobactin.biosynthesis","Pathway38"
"ERGOSTEROL.SYN.PWY..superpathway.of.ergosterol.biosynthesis.I","Pathway39"
"FAO.PWY..fatty.acid..beta..oxidation.I","Pathway40"
"FASYN.ELONG.PWY..fatty.acid.elongation....saturated","Pathway41"
"FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.","Pathway42"
"FERMENTATION.PWY..mixed.acid.fermentation","Pathway43"
"FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage","Pathway44"
"FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation","Pathway45"
"FUCCAT.PWY..fucose.degradation","Pathway46"
"GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation","Pathway47"
"GALACTARDEG.PWY..D.galactarate.degradation.I","Pathway48"
"GALACTUROCAT.PWY..D.galacturonate.degradation.I","Pathway49"
"GALLATE.DEGRADATION.I.PWY..gallate.degradation.II","Pathway50"
"GALLATE.DEGRADATION.II.PWY..gallate.degradation.I","Pathway51"
"GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation","Pathway52"
"GLUCARDEG.PWY..D.glucarate.degradation.I","Pathway53"
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation","Pathway54"
"GLUCONEO.PWY..gluconeogenesis.I","Pathway55"
"GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation","Pathway56"
"GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronide.and.D.glucuronate.degradation","Pathway57"
"GLUDEG.I.PWY..GABA.shunt","Pathway58"
"GLUTORN.PWY..L.ornithine.biosynthesis","Pathway59"
"GLYCOCAT.PWY..glycogen.degradation.I..bacterial.","Pathway60"
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.","Pathway61"
"GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation","Pathway62"
"GLYCOLYSIS.E.D..superpathway.of.glycolysis.and.Entner.Doudoroff","Pathway63"
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass","Pathway64"
"GLYCOLYSIS..glycolysis.I..from.glucose.6.phosphate.","Pathway65"
"GLYOXYLATE.BYPASS..glyoxylate.cycle","Pathway66"
"GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol","Pathway67"
"HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.oxopent.4.enoate","Pathway68"
"HEME.BIOSYNTHESIS.II..heme.biosynthesis.I..aerobic.","Pathway69"
"HEMESYN2.PWY..heme.biosynthesis.II..anaerobic.","Pathway70"
"HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.","Pathway71"
"HISDEG.PWY..L.histidine.degradation.I","Pathway72"
"HISTSYN.PWY..L.histidine.biosynthesis","Pathway73"
"HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I","Pathway74"
"HSERMETANA.PWY..L.methionine.biosynthesis.III","Pathway75"
"ILEUDEG.PWY..L.isoleucine.degradation.I","Pathway76"
"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.","Pathway77"
"KDO.NAGLIPASYN.PWY..superpathway.of..Kdo.2.lipid.A.biosynthesis","Pathway78"
"KETOGLUCONMET.PWY..ketogluconate.metabolism","Pathway79"
"LACTOSECAT.PWY..lactose.and.galactose.degradation.I","Pathway80"
"LEU.DEG2.PWY..L.leucine.degradation.I","Pathway81"
"LIPASYN.PWY..phospholipases","Pathway82"
"LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis","Pathway83"
"LYSINE.AMINOAD.PWY..L.lysine.biosynthesis.IV","Pathway84"
"LYSINE.DEG1.PWY..L.lysine.degradation.XI..mammalian.","Pathway85"
"MANNOSYL.CHITO.DOLICHOL.BIOSYNTHESIS..protein.N.glycosylation..eukaryotic..high.mannose.","Pathway86"
"MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis","Pathway87"
"METHANOGENESIS.PWY..methanogenesis.from.H2.and.CO2","Pathway88"
"METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation","Pathway89"
"METHYLGALLATE.DEGRADATION.PWY..methylgallate.degradation","Pathway90"
"METSYN.PWY..L.homoserine.and.L.methionine.biosynthesis","Pathway91"
"NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II","Pathway92"
"NADSYN.PWY..NAD.biosynthesis.II..from.tryptophan.","Pathway93"
"NAGLIPASYN.PWY..lipid.IVA.biosynthesis","Pathway94"
"NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I","Pathway95"
"NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch.","Pathway96"
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.","Pathway97"
"ORNARGDEG.PWY..superpathway.of.L.arginine.and.L.ornithine.degradation","Pathway98"
"ORNDEG.PWY..superpathway.of.ornithine.degradation","Pathway99"
"P101.PWY..ectoine.biosynthesis","Pathway100"
"P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.","Pathway101"
"P108.PWY..pyruvate.fermentation.to.propanoate.I","Pathway102"
"P122.PWY..heterolactic.fermentation","Pathway103"
"P124.PWY..Bifidobacterium.shunt","Pathway104"
"P125.PWY..superpathway.of..R.R..butanediol.biosynthesis","Pathway105"
"P161.PWY..acetylene.degradation","Pathway106"
"P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate.","Pathway107"
"P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate","Pathway108"
"P164.PWY..purine.nucleobases.degradation.I..anaerobic.","Pathway109"
"P165.PWY..superpathway.of.purines.degradation.in.plants","Pathway110"
"P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle.","Pathway111"
"P221.PWY..octane.oxidation","Pathway112"
"P23.PWY..reductive.TCA.cycle.I","Pathway113"
"P261.PWY..coenzyme.M.biosynthesis.I","Pathway114"
"P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I","Pathway115"
"P42.PWY..incomplete.reductive.TCA.cycle","Pathway116"
"P441.PWY..superpathway.of.N.acetylneuraminate.degradation","Pathway117"
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate","Pathway118"
"P562.PWY..myo.inositol.degradation.I","Pathway119"
"P621.PWY..nylon.6.oligomer.degradation","Pathway120"
"PANTO.PWY..phosphopantothenate.biosynthesis.I","Pathway121"
"PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I","Pathway122"
"PENTOSE.P.PWY..pentose.phosphate.pathway","Pathway123"
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.","Pathway124"
"PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.","Pathway125"
"PHOTOALL.PWY..oxygenic.photosynthesis","Pathway126"
"POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II","Pathway127"
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I","Pathway128"
"POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli.","Pathway129"
"PPGPPMET.PWY..ppGpp.biosynthesis","Pathway130"
"PROPFERM.PWY..L.alanine.fermentation.to.propanoate.and.acetate","Pathway131"
"PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.","Pathway132"
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis","Pathway133"
"PWY.101..photosynthesis.light.reactions","Pathway134"
"PWY.1042..glycolysis.IV..plant.cytosol.","Pathway135"
"PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I","Pathway136"
"PWY.1541..superpathway.of.taurine.degradation","Pathway137"
"PWY.1622..formaldehyde.assimilation.I..serine.pathway.","Pathway138"
"PWY.181..photorespiration","Pathway139"
"PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle.","Pathway140"
"PWY.2201..folate.transformations.I","Pathway141"
"PWY.2221..Entner.Doudoroff.pathway.III..semi.phosphorylative.","Pathway142"
"PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type","Pathway143"
"PWY.2723..trehalose.degradation.V","Pathway144"
"PWY.2941..L.lysine.biosynthesis.II","Pathway145"
"PWY.2942..L.lysine.biosynthesis.III","Pathway146"
"PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I","Pathway147"
"PWY.3502..superpathway.of.NAD.biosynthesis.in.eukaryotes","Pathway148"
"PWY.3661..glycine.betaine.degradation.I","Pathway149"
"PWY.3781..aerobic.respiration.I..cytochrome.c.","Pathway150"
"PWY.3801..sucrose.degradation.II..sucrose.synthase.","Pathway151"
"PWY.3841..folate.transformations.II","Pathway152"
"PWY.3941...beta..alanine.biosynthesis.II","Pathway153"
"PWY.4041...gamma..glutamyl.cycle","Pathway154"
"PWY.4221..pantothenate.and.coenzyme.A.biosynthesis.II..plants.","Pathway155"
"PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III","Pathway156"
"PWY.4321..L.glutamate.degradation.IV","Pathway157"
"PWY.4361..S.methyl.5.thio..alpha..D.ribose.1.phosphate.degradation","Pathway158"
"PWY.4702..phytate.degradation.I","Pathway159"
"PWY.4722..creatinine.degradation.II","Pathway160"
"PWY.4981..L.proline.biosynthesis.II..from.arginine.","Pathway161"
"PWY.4984..urea.cycle","Pathway162"
"PWY.5004..superpathway.of.L.citrulline.metabolism","Pathway163"
"PWY.5005..biotin.biosynthesis.II","Pathway164"
"PWY.5022..4.aminobutanoate.degradation.V","Pathway165"
"PWY.5028..L.histidine.degradation.II","Pathway166"
"PWY.5030..L.histidine.degradation.III","Pathway167"
"PWY.5044..purine.nucleotides.degradation.I..plants.","Pathway168"
"PWY.5067..glycogen.biosynthesis.II..from.UDP.D.Glucose.","Pathway169"
"PWY.5079..L.phenylalanine.degradation.III","Pathway170"
"PWY.5080..very.long.chain.fatty.acid.biosynthesis.I","Pathway171"
"PWY.5081..L.tryptophan.degradation.VIII..to.tryptophol.","Pathway172"
"PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation","Pathway173"
"PWY.5088..L.glutamate.degradation.VIII..to.propanoate.","Pathway174"
"PWY.5097..L.lysine.biosynthesis.VI","Pathway175"
"PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II","Pathway176"
"PWY.5101..L.isoleucine.biosynthesis.II","Pathway177"
"PWY.5103..L.isoleucine.biosynthesis.III","Pathway178"
"PWY.5104..L.isoleucine.biosynthesis.IV","Pathway179"
"PWY.5109..2.methylbutanoate.biosynthesis","Pathway180"
"PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.","Pathway181"
"PWY.5129..sphingolipid.biosynthesis..plants.","Pathway182"
"PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.","Pathway183"
"PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation","Pathway184"
"PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.","Pathway185"
"PWY.5173..superpathway.of.acetyl.CoA.biosynthesis","Pathway186"
"PWY.5177..glutaryl.CoA.degradation","Pathway187"
"PWY.5178..toluene.degradation.IV..aerobic...via.catechol.","Pathway188"
"PWY.5179..toluene.degradation.V..aerobic...via.toluene.cis.diol.","Pathway189"
"PWY.5180..toluene.degradation.I..aerobic...via.o.cresol.","Pathway190"
"PWY.5181..toluene.degradation.III..aerobic...via.p.cresol.","Pathway191"
"PWY.5182..toluene.degradation.II..aerobic...via.4.methylcatechol.","Pathway192"
"PWY.5183..superpathway.of.aerobic.toluene.degradation","Pathway193"
"PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.","Pathway194"
"PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.","Pathway195"
"PWY.5198..factor.420.biosynthesis","Pathway196"
"PWY.5265..peptidoglycan.biosynthesis.II..staphylococci.","Pathway197"
"PWY.5304..superpathway.of.sulfur.oxidation..Acidianus.ambivalens.","Pathway198"
"PWY.5306..superpathway.of.thiosulfate.metabolism..Desulfovibrio.sulfodismutans.","Pathway199"
"PWY.5328..superpathway.of.L.methionine.salvage.and.degradation","Pathway200"
"PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.","Pathway201"
"PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.","Pathway202"
"PWY.5367..petroselinate.biosynthesis","Pathway203"
"PWY.5381..pyridine.nucleotide.cycling..plants.","Pathway204"
"PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.","Pathway205"
"PWY.5392..reductive.TCA.cycle.II","Pathway206"
"PWY.5415..catechol.degradation.I..meta.cleavage.pathway.","Pathway207"
"PWY.5417..catechol.degradation.III..ortho.cleavage.pathway.","Pathway208"
"PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate","Pathway209"
"PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle","Pathway210"
"PWY.5484..glycolysis.II..from.fructose.6.phosphate.","Pathway211"
"PWY.5505..L.glutamate.and.L.glutamine.biosynthesis","Pathway212"
"PWY.5508..adenosylcobalamin.biosynthesis.from.cobyrinate.a.c.diamide.II","Pathway213"
"PWY.5509..adenosylcobalamin.biosynthesis.from.cobyrinate.a.c.diamide.I","Pathway214"
"PWY.5514..UDP.N.acetyl.D.galactosamine.biosynthesis.II","Pathway215"
"PWY.5534..propylene.degradation","Pathway216"
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation","Pathway217"
"PWY.5647..2.nitrobenzoate.degradation.I","Pathway218"
"PWY.5651..L.tryptophan.degradation.to.2.amino.3.carboxymuconate.semialdehyde","Pathway219"
"PWY.5654..2.amino.3.carboxymuconate.semialdehyde.degradation.to.2.oxopentenoate","Pathway220"
"PWY.5656..mannosylglycerate.biosynthesis.I","Pathway221"
"PWY.5659..GDP.mannose.biosynthesis","Pathway222"
"PWY.5667..CDP.diacylglycerol.biosynthesis.I","Pathway223"
"PWY.5675..nitrate.reduction.V..assimilatory.","Pathway224"
"PWY.5676..acetyl.CoA.fermentation.to.butanoate.II","Pathway225"
"PWY.5677..succinate.fermentation.to.butanoate","Pathway226"
"PWY.5686..UMP.biosynthesis","Pathway227"
"PWY.5690..TCA.cycle.II..plants.and.fungi.","Pathway228"
"PWY.5692..allantoin.degradation.to.glyoxylate.II","Pathway229"
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation","Pathway230"
