"Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Ctlmean","Dismean","Origin"
"Pathway110",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","P165.PWY..superpathway.of.purines.degradation.in.plants"
"Pathway111",625,9309,693,9377,659,9343,0.937606239376062,0.934206579342066,0.930806919308069,0.987629567249654,1,0.989087582798943,"3.27808723529412e-05","2.41778782352941e-05","P185.PWY..formaldehyde.assimilation.III..dihydroxyacetone.cycle."
"Pathway112",8531,1,10001,1471,9266,736,0.147085291470853,0.0735926407359264,9.99900009999e-05,0.000239261788106904,0.583715541489329,0.367123287671233,"0","8.52823529411765e-06","P221.PWY..octane.oxidation"
"Pathway113",456,9467,535,9546,495.5,9506.5,0.954504549545045,0.950554944505549,0.946605339466053,0.987629567249654,1,0.989087582798943,"4.34934470588235e-06","6.07810294117647e-07","P23.PWY..reductive.TCA.cycle.I"
"Pathway114",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","P261.PWY..coenzyme.M.biosynthesis.I"
"Pathway115",9240,700,9302,762,9271,731,0.0761923807619238,0.0730926907309269,0.06999300069993,0.114031150076482,0.400683741149695,0.367123287671233,"5.265031e-05","7.53488294117647e-05","P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I"
"Pathway116",9015,899,9103,987,9059,943,0.0986901309869013,0.0942905709429057,0.0898910108989101,0.14171053482887,0.459448072286788,0.427640569276406,"5.47745876470588e-05","6.26775111764706e-05","P42.PWY..incomplete.reductive.TCA.cycle"
"Pathway117",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","P441.PWY..superpathway.of.N.acetylneuraminate.degradation"
"Pathway118",9725,256,9746,277,9735.5,266.5,0.0276972302769723,0.0266473352664734,0.0255974402559744,0.0465092473803467,0.207679232076792,0.198374606983746,"2.79245676470588e-05","4.91429494117647e-05","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate"
"Pathway119",1,5027,4975,10001,2488,7514,1,0.751324867513249,0.502649735026497,0.649205440901693,1,0.898906537917637,"2.56528235294118e-08","0","P562.PWY..myo.inositol.degradation.I"
"Pathway12",8113,1760,8242,1889,8177.5,1824.5,0.188881111888811,0.182431756824318,0.175982401759824,0.258428951625385,0.698208799809674,0.655322242836841,"0.000157629713529412","0.000193070594117647","ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis"
"Pathway120",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","P621.PWY..nylon.6.oligomer.degradation"
"Pathway121",4018,5799,4203,5984,4110.5,5891.5,0.598340165983402,0.589091090890911,0.57984201579842,0.731283106983419,1,0.748229442458598,"0.000439566882352941","0.000456975882352941","PANTO.PWY..phosphopantothenate.biosynthesis.I"
"Pathway122",4850,4965,5037,5152,4943.5,5058.5,0.515148485151485,0.505799420057994,0.496450354964504,0.646509683172119,1,0.66124021744167,"0.000186616894117647","0.000198200223529412","PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I"
"Pathway123",5938,3879,6123,4064,6030.5,3971.5,0.406359364063594,0.397110288971103,0.387861213878612,0.521036618142697,1,0.655322242836841,"5.91519639411765e-05","5.99465564705882e-05","PENTOSE.P.PWY..pentose.phosphate.pathway"
"Pathway124",1816,8053,1949,8186,1882.5,8119.5,0.818518148185181,0.811868813118688,0.805219478052195,0.928859250827054,1,0.936245691670149,"0.000646273294117647","0.000610371176470588","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."
"Pathway125",9191,726,9276,811,9233.5,768.5,0.0810918908109189,0.0768423157684232,0.0725927407259274,0.116148385161484,0.406217322193014,0.367745368320311,"7.82230117647059e-05","0.000108776158823529","PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria."
"Pathway126",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PHOTOALL.PWY..oxygenic.photosynthesis"
"Pathway127",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II"
"Pathway128",3862,5957,4045,6140,3953.5,6048.5,0.613938606139386,0.604789521047895,0.595640435956404,0.747689165509679,1,0.764671646042943,"5.05843470588235e-05","4.64148470588235e-05","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I"
"Pathway129",9823,152,9850,179,9836.5,165.5,0.0178982101789821,0.0165483451654835,0.0151984801519848,0.0301717976350513,0.182221777822218,0.170609605706096,"5.66517758823529e-06","1.47268934117647e-05","POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli."
"Pathway13",9982,13,9989,20,9985.5,16.5,0.001999800019998,0.00164983501649835,0.0012998700129987,0.00306929659456962,0.182221777822218,0.170609605706096,"1.566601e-06","7.76830547058824e-06","ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion"
"Pathway130",9540,415,9587,462,9563.5,438.5,0.0461953804619538,0.0438456154384562,0.0414958504149585,0.0722135578649927,0.287915394507061,0.27012930890819,"1.61512572352941e-05","2.57126522941176e-05","PPGPPMET.PWY..ppGpp.biosynthesis"
"Pathway131",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PROPFERM.PWY..L.alanine.fermentation.to.propanoate.and.acetate"
"Pathway132",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway."
"Pathway133",5531,4296,5706,4471,5618.5,4383.5,0.447055294470553,0.438306169383062,0.42955704429557,0.568500187018335,1,0.655322242836841,"0.000108348474705882","0.000109481294117647","PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis"
"Pathway134",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.101..photosynthesis.light.reactions"
"Pathway135",3279,6540,3462,6723,3370.5,6631.5,0.672232776722328,0.663083691630837,0.653934606539346,0.802079975068855,1,0.817041054515238,"0.000446419588235294","0.000429419","PWY.1042..glycolysis.IV..plant.cytosol."
"Pathway136",8552,1334,8668,1450,8610,1392,0.144985501449855,0.139186081391861,0.133386661333867,0.201963984392521,0.583715541489329,0.539609348417676,"9.50995647058823e-05","0.000123840323529412","PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I"
"Pathway137",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.1541..superpathway.of.taurine.degradation"
"Pathway138",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.1622..formaldehyde.assimilation.I..serine.pathway."
"Pathway139",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.181..photorespiration"
"Pathway14",9221,726,9276,781,9248.5,753.5,0.0780921907809219,0.0753424657534247,0.0725927407259274,0.116148385161484,0.400683741149695,0.367123287671233,"0.000163040525294118","0.000208969464705882","ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."
"Pathway140",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle."
"Pathway141",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.2201..folate.transformations.I"
"Pathway142",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.2221..Entner.Doudoroff.pathway.III..semi.phosphorylative."
"Pathway143",154,9812,190,9848,172,9830,0.984701529847015,0.982901709829017,0.981101889811019,0.987629567249654,1,0.989087582798943,"1.77522910588235e-05","2.7571289e-06","PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type"
"Pathway144",9876,113,9889,126,9882.5,119.5,0.0125987401259874,0.0119488051194881,0.0112988701129887,0.0236570092990701,0.182221777822218,0.170609605706096,"5.56858635294118e-06","1.40795423529412e-05","PWY.2723..trehalose.degradation.V"
"Pathway145",5326,4489,5513,4676,5419.5,4582.5,0.467553244675532,0.458204179582042,0.448855114488551,0.592577195482422,1,0.655322242836841,"6.40196058823529e-05","6.36241635294118e-05","PWY.2941..L.lysine.biosynthesis.II"
"Pathway146",3244,6573,3429,6758,3336.5,6665.5,0.675732426757324,0.666483351664834,0.657234276572343,0.804286694618209,1,0.819346505716401,"0.000547763470588235","0.000505159882352941","PWY.2942..L.lysine.biosynthesis.III"
"Pathway147",1853,8006,1996,8149,1924.5,8077.5,0.814818518148185,0.807669233076692,0.800519948005199,0.928741757858846,1,0.936245691670149,"0.000293896235294118","0.000273263882352941","PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I"
"Pathway148",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.3502..superpathway.of.NAD.biosynthesis.in.eukaryotes"
"Pathway149",4982,1,10001,5020,7491.5,2510.5,0.501949805019498,0.251024897510249,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","3.42458235294118e-07","PWY.3661..glycine.betaine.degradation.I"
"Pathway15",9663,311,9691,339,9677,325,0.0338966103389661,0.0324967503249675,0.0310968903109689,0.055745596008961,0.239060304495866,0.229187607555034,"9.02684631764706e-05","0.000139264688235294","ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."
"Pathway150",5821,3137,6865,4181,6343,3659,0.418058194180582,0.365863413658634,0.313668633136686,0.427802512369628,1,0.655322242836841,"5.37830294117647e-06","1.55860823529412e-05","PWY.3781..aerobic.respiration.I..cytochrome.c."
"Pathway151",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.3801..sucrose.degradation.II..sucrose.synthase."
"Pathway152",7970,1885,8117,2032,8043.5,1958.5,0.203179682031797,0.195830416958304,0.188481151884812,0.273042965973673,0.727254426875193,0.655322242836841,"0.000332759705882353","0.000352796352941176","PWY.3841..folate.transformations.II"
"Pathway153",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.3941...beta..alanine.biosynthesis.II"
"Pathway154",9861,124,9878,141,9869.5,132.5,0.0140985901409859,0.0132486751324868,0.0123987601239876,0.0258588927099508,0.182221777822218,0.170609605706096,"1.48325644705882e-05","2.999004e-05","PWY.4041...gamma..glutamyl.cycle"
"Pathway155",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.4221..pantothenate.and.coenzyme.A.biosynthesis.II..plants."
"Pathway156",2721,7142,2860,7281,2790.5,7211.5,0.728027197280272,0.721077892210779,0.714128587141286,0.860163871253324,1,0.874429299151533,"0.000108200852941176","9.21534941176471e-05","PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III"
"Pathway157",4985,2280,7722,5017,6353.5,3648.5,0.501649835016498,0.364813518648135,0.227977202279772,0.320723833128498,1,0.655322242836841,"1.55164117647059e-07","3.31504705882353e-07","PWY.4321..L.glutamate.degradation.IV"
"Pathway158",8500,1,10001,1502,9250.5,751.5,0.15018498150185,0.0751424857514249,9.99900009999e-05,0.000239261788106904,0.583715541489329,0.367123287671233,"0","2.16118258823529e-06","PWY.4361..S.methyl.5.thio..alpha..D.ribose.1.phosphate.degradation"
"Pathway159",7462,2399,7603,2540,7532.5,2469.5,0.253974602539746,0.246925307469253,0.23987601239876,0.333957253625287,0.850814918508149,0.655322242836841,"1.94414768823529e-05","2.35241906411765e-05","PWY.4702..phytate.degradation.I"
"Pathway16",201,9772,230,9801,215.5,9786.5,0.98000199980002,0.978552144785521,0.977102289771023,0.987629567249654,1,0.989087582798943,"0.000435800529411765","0.000366502882352941","ARO.PWY..chorismate.biosynthesis.I"
"Pathway160",4985,1,10001,5017,7493,2509,0.501649835016498,0.250874912508749,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","1.70938235294118e-07","PWY.4722..creatinine.degradation.II"
"Pathway161",632,9304,698,9370,665,9337,0.936906309369063,0.933606639336066,0.93030696930307,0.987629567249654,1,0.989087582798943,"6.91055882352941e-05","6.14659e-05","PWY.4981..L.proline.biosynthesis.II..from.arginine."
"Pathway162",7578,2264,7738,2424,7658,2344,0.242375762423758,0.234376562343766,0.226377362263774,0.320153736605231,0.817065463264994,0.655322242836841,"8.62406823529412e-05","7.41171352941176e-05","PWY.4984..urea.cycle"
"Pathway163",9134,353,9649,868,9391.5,610.5,0.0867913208679132,0.061043895610439,0.0352964703529647,0.0624386406243864,0.422910436229104,0.343619804686198,"4.95042941176471e-08","1.7018383e-06","PWY.5004..superpathway.of.L.citrulline.metabolism"
"Pathway164",103,9877,125,9899,114,9888,0.98980101989801,0.988701129887011,0.987601239876012,0.988901109889011,1,0.98960103989601,"1.71077501176471e-05","6.14653147058824e-06","PWY.5005..biotin.biosynthesis.II"
"Pathway165",8916,1006,8996,1086,8956,1046,0.108589141085891,0.104589541045895,0.100589941005899,0.154487703092155,0.473637189126616,0.439682185627591,"1.55291572352941e-05","2.92831217647059e-05","PWY.5022..4.aminobutanoate.degradation.V"
"Pathway166",8531,613,9389,1471,8960,1042,0.147085291470853,0.104189581041896,0.0612938706129387,0.102347397658988,0.583715541489329,0.439682185627591,"1.42606470588235e-08","1.08373294117647e-05","PWY.5028..L.histidine.degradation.II"
"Pathway167",9005,914,9088,997,9046.5,955.5,0.0996900309969003,0.0955404459554045,0.0913908609139086,0.143178705385275,0.459448072286788,0.427640569276406,"5.78789664705882e-05","8.0962389e-05","PWY.5030..L.histidine.degradation.III"
"Pathway168",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5044..purine.nucleotides.degradation.I..plants."
"Pathway169",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5067..glycogen.biosynthesis.II..from.UDP.D.Glucose."
"Pathway17",464,9501,501,9538,482.5,9519.5,0.953704629537046,0.951854814518548,0.95000499950005,0.987629567249654,1,0.989087582798943,"0.000186577229411765","0.0001605211","ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"
"Pathway170",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5079..L.phenylalanine.degradation.III"
"Pathway171",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5080..very.long.chain.fatty.acid.biosynthesis.I"
"Pathway172",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5081..L.tryptophan.degradation.VIII..to.tryptophol."
"Pathway173",9839,143,9859,163,9849,153,0.0162983701629837,0.0152984701529847,0.0142985701429857,0.0288121563783471,0.182221777822218,0.170609605706096,"1.66253498823529e-05","4.61321408235294e-05","PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation"
"Pathway174",6357,3376,6626,3645,6491.5,3510.5,0.364463553644636,0.351014898510149,0.337566243375662,0.458064573289506,1,0.655322242836841,"1.41733211764706e-06","6.21771494117647e-06","PWY.5088..L.glutamate.degradation.VIII..to.propanoate."
"Pathway175",1125,8786,1216,8877,1170.5,8831.5,0.887611238876112,0.883061693830617,0.878512148785122,0.964265127679461,1,0.969087549322777,"0.000585837882352941","0.000519716","PWY.5097..L.lysine.biosynthesis.VI"
"Pathway176",381,9573,429,9621,405,9597,0.962003799620038,0.95960403959604,0.957204279572043,0.987629567249654,1,0.989087582798943,"0.000145189917647059","0.000117551405882353","PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II"
"Pathway177",8821,1077,8925,1181,8873,1129,0.118088191180882,0.112888711128887,0.107689231076892,0.163981329139813,0.502343416452006,0.454949993722432,"7.57214382352941e-05","9.89499670588235e-05","PWY.5101..L.isoleucine.biosynthesis.II"
"Pathway178",1762,8111,1891,8240,1826.5,8175.5,0.823917608239176,0.817468253174683,0.811018898110189,0.928859250827054,1,0.936245691670149,"0.000329159252941176","0.000305954147058824","PWY.5103..L.isoleucine.biosynthesis.III"
"Pathway179",2103,7755,2247,7899,2175,7827,0.78982101789821,0.782621737826217,0.775422457754225,0.915938296280262,1,0.923005721405881,"7.52840447058824e-05","7.06661894117647e-05","PWY.5104..L.isoleucine.biosynthesis.IV"
"Pathway18",9812,166,9836,190,9824,178,0.018998100189981,0.0177982201779822,0.0165983401659834,0.0322344577136489,0.182221777822218,0.170609605706096,"5.73310109411765e-06","1.57334781764706e-05","AST.PWY..L.arginine.degradation.II..AST.pathway."
"Pathway180",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5109..2.methylbutanoate.biosynthesis"
"Pathway181",9786,190,9812,216,9799,203,0.0215978402159784,0.0202979702029797,0.018998100189981,0.0358555693726402,0.188857304745716,0.178355934898313,"2.09230191764706e-05","4.09409470588235e-05","PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP."
"Pathway182",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5129..sphingolipid.biosynthesis..plants."
"Pathway183",8915,999,9003,1087,8959,1043,0.108689131086891,0.104289571042896,0.0998900109989001,0.153853580159225,0.473637189126616,0.439682185627591,"1.06060809235294e-05","1.22264603529412e-05","PWY.5136..fatty.acid..beta..oxidation.II..peroxisome."
"Pathway184",7953,1852,8150,2049,8051.5,1950.5,0.204879512048795,0.195030496950305,0.185181481851815,0.268989903177704,0.727254426875193,0.655322242836841,"4.08477296470588e-06","3.22072134117647e-06","PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation"
"Pathway185",9740,231,9771,262,9755.5,246.5,0.0261973802619738,0.0246475352464754,0.0230976902309769,0.0423984998760398,0.207679232076792,0.195620437956204,"7.18013598235294e-05","0.000115614982352941","PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline."
"Pathway186",9087,854,9148,915,9117.5,884.5,0.0914908509149085,0.0884411558844116,0.0853914608539146,0.135730805617663,0.441793658471991,0.415828592579339,"9.56259670588235e-06","1.42596231470588e-05","PWY.5173..superpathway.of.acetyl.CoA.biosynthesis"
"Pathway187",291,9681,321,9711,306,9696,0.971002899710029,0.969503049695031,0.968003199680032,0.987629567249654,1,0.989087582798943,"9.8850356e-05","5.77293725882353e-05","PWY.5177..glutaryl.CoA.degradation"
"Pathway188",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5178..toluene.degradation.IV..aerobic...via.catechol."
"Pathway189",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5179..toluene.degradation.V..aerobic...via.toluene.cis.diol."
"Pathway19",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I"
"Pathway190",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5180..toluene.degradation.I..aerobic...via.o.cresol."
"Pathway191",5027,1,10001,4975,7514,2488,0.497450254974503,0.248775122487751,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","1.22031764705882e-08","PWY.5181..toluene.degradation.III..aerobic...via.p.cresol."
"Pathway192",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5182..toluene.degradation.II..aerobic...via.4.methylcatechol."
"Pathway193",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5183..superpathway.of.aerobic.toluene.degradation"
"Pathway194",2520,7327,2675,7482,2597.5,7404.5,0.748125187481252,0.74037596240376,0.732626737326267,0.878496490395703,1,0.893787197856791,"0.000107956682352941","0.000100735717647059","PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate."
"Pathway195",9217,707,9295,785,9256,746,0.0784921507849215,0.0745925407459254,0.0706929307069293,0.114637478850302,0.400683741149695,0.367123287671233,"2.25541127352941e-05","3.89561211764706e-05","PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine."
"Pathway196",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5198..factor.420.biosynthesis"
"Pathway197",1,4974,5028,10001,2514.5,7487.5,1,0.748675132486751,0.497350264973503,0.646509683172119,1,0.898906537917637,"5.41937647058824e-08","0","PWY.5265..peptidoglycan.biosynthesis.II..staphylococci."
"Pathway198",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5304..superpathway.of.sulfur.oxidation..Acidianus.ambivalens."
"Pathway199",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5306..superpathway.of.thiosulfate.metabolism..Desulfovibrio.sulfodismutans."
"Pathway2",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation"
"Pathway20",1197,8693,1309,8805,1253,8749,0.88041195880412,0.874812518748125,0.869213078692131,0.958748569587486,1,0.964813806685175,"0.000364134994117647","0.000327871176470588","BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis"
"Pathway200",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5328..superpathway.of.L.methionine.salvage.and.degradation"
"Pathway201",8499,1383,8619,1503,8559,1443,0.15028497150285,0.144285571442856,0.138286171382862,0.207042982852553,0.583715541489329,0.545759508556187,"4.40223938823529e-05","6.00352705882353e-05","PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation."
"Pathway202",2481,7366,2636,7521,2558.5,7443.5,0.752024797520248,0.744275572442756,0.736526347365263,0.881201165597726,1,0.896475745683859,"9.89577764705882e-05","9.14193941176471e-05","PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration."
"Pathway203",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5367..petroselinate.biosynthesis"
"Pathway204",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5381..pyridine.nucleotide.cycling..plants."
"Pathway205",8666,1247,8755,1336,8710.5,1291.5,0.133586641335866,0.129137086291371,0.124687531246875,0.189327242913102,0.563798738236413,0.516548345165483,"1.05674775882353e-05","1.46836731764706e-05","PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase."
"Pathway206",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000239261788106904,1,0.655322242836841,"0","0","PWY.5392..reductive.TCA.cycle.II"
