"Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Ctlmean","Dismean","Origin"
"Pathway13",2448,7432,2570,7554,2509,7493,0.755324467553245,0.749225077492251,0.743125687431257,1,1,1,"1.39640909090909e-06","1.97672727272727e-06","ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion"
"Pathway130",142,9850,152,9860,147,9855,0.985901409859014,0.985401459854015,0.984901509849015,1,1,1,"7.09731818181818e-06","4.74134090909091e-06","PPGPPMET.PWY..ppGpp.biosynthesis"
"Pathway131",8832,905,9097,1170,8964.5,1037.5,0.116988301169883,0.103739626037396,0.0904909509049095,0.205521820699286,0.490307219278072,0.441305075841622,"3.45760681818182e-08","1.12769818181818e-07","PROPFERM.PWY..L.alanine.fermentation.to.propanoate.and.acetate"
"Pathway132",1,8417,1585,10001,793,9209,1,0.920807919208079,0.841615838416158,1,1,1,"1.08613636363636e-07","0","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway."
"Pathway133",8878,1106,8896,1124,8887,1115,0.112388761123888,0.111488851114889,0.110588941105889,0.245957147023887,0.482780521947805,0.466859564043596,"0.000127117613636364","0.000138028534090909","PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis"
"Pathway134",1718,6618,3384,8284,2551,7451,0.828317168283172,0.745025497450255,0.661733826617338,1,1,1,"2.53409090909091e-08","8.38636363636364e-09","PWY.101..photosynthesis.light.reactions"
"Pathway135",8710,1267,8735,1292,8722.5,1279.5,0.129187081291871,0.127937206279372,0.126687331266873,0.274916637890867,0.520633650920622,0.515596560644687,"0.000586699477272727","0.000610787090909091","PWY.1042..glycolysis.IV..plant.cytosol."
"Pathway136",260,9732,270,9742,265,9737,0.974102589741026,0.973602639736026,0.973102689731027,1,1,1,"5.26151590909091e-05","4.05509090909091e-05","PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I"
"Pathway137",7258,1,10001,2744,8629.5,1372.5,0.274372562743726,0.137236276372363,9.99900009999e-05,0.000454191868948698,0.987004655239174,0.5408723833499,"0","1.27863636363636e-08","PWY.1541..superpathway.of.taurine.degradation"
"Pathway138",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.1622..formaldehyde.assimilation.I..serine.pathway."
"Pathway139",1,7159,2843,10001,1422,8580,1,0.857914208579142,0.715828417158284,1,1,1,"2.07727272727273e-07","0","PWY.181..photorespiration"
"Pathway14",7018,2927,7075,2984,7046.5,2955.5,0.298370162983702,0.295520447955204,0.292670732926707,0.572523769520858,1,0.836358469416216,"0.000229393863636364","0.000244536272727273","ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."
"Pathway140",46,9950,52,9956,49,9953,0.995500449955005,0.995200479952005,0.994900509949005,1,1,1,"2.21065909090909e-06","6.92522727272727e-07","PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle."
"Pathway141",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.2201..folate.transformations.I"
"Pathway142",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.2221..Entner.Doudoroff.pathway.III..semi.phosphorylative."
"Pathway143",4548,5399,4603,5454,4575.5,5426.5,0.545345465453455,0.542595740425957,0.53984601539846,0.876840800768408,1,0.923274021804169,"3.77234090909091e-06","3.18917272727273e-06","PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type"
"Pathway144",2871,6959,3043,7131,2957,7045,0.713028697130287,0.704429557044296,0.695830416958304,1,1,1,"1.66859090909091e-06","1.65366590909091e-06","PWY.2723..trehalose.degradation.V"
"Pathway145",195,9801,201,9807,198,9804,0.980601939806019,0.98030196980302,0.98000199980002,1,1,1,"7.88551363636364e-05","4.20846590909091e-05","PWY.2941..L.lysine.biosynthesis.II"
"Pathway146",917,9067,935,9085,926,9076,0.908409159084092,0.907509249075092,0.906609339066093,1,1,1,"0.000528633045454545","0.000502261409090909","PWY.2942..L.lysine.biosynthesis.III"
"Pathway147",6169,3797,6205,3833,6187,3815,0.383261673832617,0.381461853814619,0.37966203379662,0.692172959574791,1,0.864861900906684,"0.000399051886363636","0.000400546545454545","PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I"
"Pathway148",4935,1,10001,5067,7468,2534,0.506649335066493,0.253374662533747,9.99900009999e-05,0.000454191868948698,1,0.750030491456349,"0","4.75897727272727e-09","PWY.3502..superpathway.of.NAD.biosynthesis.in.eukaryotes"
"Pathway149",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.3661..glycine.betaine.degradation.I"
"Pathway15",6604,3352,6650,3398,6627,3375,0.33976602339766,0.337466253374663,0.335166483351665,0.633733117916279,1,0.864861900906684,"0.000120057822727273","0.000127752484090909","ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."
"Pathway150",3369,6542,3460,6633,3414.5,6587.5,0.663233676632337,0.658684131586841,0.654134586541346,1,1,1,"1.23372011363636e-06","1.28055854545455e-06","PWY.3781..aerobic.respiration.I..cytochrome.c."
"Pathway151",1,8344,1658,10001,829.5,9172.5,1,0.917158284171583,0.834316568343166,1,1,1,"5.37954545454545e-07","0","PWY.3801..sucrose.degradation.II..sucrose.synthase."
"Pathway152",398,9590,412,9604,405,9597,0.96030396960304,0.95960403959604,0.958904109589041,1,1,1,"0.000362215477272727","0.000332309863636364","PWY.3841..folate.transformations.II"
"Pathway153",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.3941...beta..alanine.biosynthesis.II"
"Pathway154",1238,8724,1278,8764,1258,8744,0.876312368763124,0.874312568743126,0.872312768723128,1,1,1,"2.14418181818182e-06","1.54493181818182e-06","PWY.4041...gamma..glutamyl.cycle"
"Pathway155",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.4221..pantothenate.and.coenzyme.A.biosynthesis.II..plants."
"Pathway156",9985,16,9986,17,9985.5,16.5,0.0016998300169983,0.00164983501649835,0.0015998400159984,0.00616916725593628,0.0414140404141404,0.0414140404141404,"0.000164624863636364","0.000251703931818182","PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III"
"Pathway157",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.4321..L.glutamate.degradation.IV"
"Pathway158",5019,1,10001,4983,7510,2492,0.498250174982502,0.249175082491751,9.99900009999e-05,0.000454191868948698,1,0.750030491456349,"0","4.84090909090909e-09","PWY.4361..S.methyl.5.thio..alpha..D.ribose.1.phosphate.degradation"
"Pathway159",2060,7894,2108,7942,2084,7918,0.794120587941206,0.791720827917208,0.789321067893211,1,1,1,"3.56202954545455e-06","1.12028181818182e-05","PWY.4702..phytate.degradation.I"
"Pathway16",47,9954,48,9955,47.5,9954.5,0.995400459954005,0.995350464953505,0.995300469953005,1,1,1,"0.000593872909090909","0.000520826977272727","ARO.PWY..chorismate.biosynthesis.I"
"Pathway160",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.4722..creatinine.degradation.II"
"Pathway161",9629,366,9636,373,9632.5,369.5,0.0372962703729627,0.0369463053694631,0.0365963403659634,0.104086433461917,0.275730321704672,0.262885103894674,"8.55314772727273e-05","0.000107777361363636","PWY.4981..L.proline.biosynthesis.II..from.arginine."
"Pathway162",9125,858,9144,877,9134.5,867.5,0.0876912308769123,0.0867413258674133,0.0857914208579142,0.195677453531243,0.401730767094231,0.387444588874446,"3.55443704545455e-05","4.07415815909091e-05","PWY.4984..urea.cycle"
"Pathway163",5784,3920,6082,4218,5933,4069,0.421757824217578,0.406859314068593,0.391960803919608,0.709766861151723,1,0.864861900906684,"2.28340909090909e-07","2.93908704545455e-07","PWY.5004..superpathway.of.L.citrulline.metabolism"
"Pathway164",3743,6213,3789,6259,3766,6236,0.625837416258374,0.623537646235376,0.621237876212379,0.976491207184267,1,1,"1.71822393181818e-05","1.99323743181818e-05","PWY.5005..biotin.biosynthesis.II"
"Pathway165",1053,8914,1088,8949,1070.5,8931.5,0.894810518948105,0.893060693930607,0.891310868913109,1,1,1,"1.12966818181818e-05","1.01000909090909e-05","PWY.5022..4.aminobutanoate.degradation.V"
"Pathway166",5069,1,10001,4933,7535,2467,0.493250674932507,0.246675332466753,9.99900009999e-05,0.000454191868948698,1,0.750030491456349,"0","1.79772727272727e-08","PWY.5028..L.histidine.degradation.II"
"Pathway167",9949,49,9953,53,9951,51,0.0052994700529947,0.0050994900509949,0.0048995100489951,0.0173916383196117,0.0835445867177988,0.0803919608039196,"6.25566136363636e-05","0.000100370934090909","PWY.5030..L.histidine.degradation.III"
"Pathway168",9995,7,9995,7,9995,7,0.0006999300069993,0.0006999300069993,0.0006999300069993,0.0029540353051309,0.0414140404141404,0.0414140404141404,"2.04622522727273e-07","3.62071615909091e-06","PWY.5044..purine.nucleotides.degradation.I..plants."
"Pathway169",3995,3998,6004,6007,4999.5,5002.5,0.600639936006399,0.500199980002,0.3997600239976,0.719031452559442,1,0.864861900906684,"2.2375e-08","2.51980227272727e-08","PWY.5067..glycogen.biosynthesis.II..from.UDP.D.Glucose."
"Pathway17",9028,961,9041,974,9034.5,967.5,0.0973902609739026,0.0967403259674033,0.0960903909609039,0.215499788933241,0.438665377159763,0.421567599337627,"0.000246873159090909","0.000267342931818182","ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"
"Pathway170",1566,6728,3274,8436,2420,7582,0.843515648435156,0.758124187581242,0.672732726727327,1,1,1,"5.38181818181818e-08","1.29090909090909e-08","PWY.5079..L.phenylalanine.degradation.III"
"Pathway171",1,4995,5007,10001,2504,7498,1,0.74972502749725,0.499450054994501,0.826250708262507,1,1,"7.56818181818182e-09","0","PWY.5080..very.long.chain.fatty.acid.biosynthesis.I"
"Pathway172",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5081..L.tryptophan.degradation.VIII..to.tryptophol."
"Pathway173",672,9311,691,9330,681.5,9320.5,0.932906709329067,0.931956804319568,0.931006899310069,1,1,1,"3.97379545454545e-06","2.95986363636364e-06","PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation"
"Pathway174",2798,7045,2957,7204,2877.5,7124.5,0.72032796720328,0.712378762123788,0.704429557044296,1,1,1,"4.78613636363636e-07","5.33363636363636e-07","PWY.5088..L.glutamate.degradation.VIII..to.propanoate."
"Pathway175",88,9909,93,9914,90.5,9911.5,0.991300869913009,0.991050894910509,0.990800919908009,1,1,1,"0.000577880795454545","0.000521298636363636","PWY.5097..L.lysine.biosynthesis.VI"
"Pathway176",9591,394,9608,411,9599.5,402.5,0.0410958904109589,0.0402459754024598,0.0393960603939606,0.106647921066479,0.282402528977871,0.268626795857,"0.000238907931818182","0.000282252363636364","PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II"
"Pathway177",9761,228,9774,241,9767.5,234.5,0.0240975902409759,0.0234476552344766,0.0227977202279772,0.0696427532388004,0.211742760150214,0.203140976224958,"0.000113593931818182","0.000145484720454545","PWY.5101..L.isoleucine.biosynthesis.II"
"Pathway178",6721,3242,6760,3281,6740.5,3261.5,0.328067193280672,0.326117388261174,0.324167583241676,0.623299947585313,1,0.864861900906684,"0.000473073772727273","0.000480626681818182","PWY.5103..L.isoleucine.biosynthesis.III"
"Pathway179",1256,8723,1279,8746,1267.5,8734.5,0.874512548745126,0.873362663733627,0.872212778722128,1,1,1,"0.000111841181818182","9.6178475e-05","PWY.5104..L.isoleucine.biosynthesis.IV"
"Pathway18",3074,6814,3188,6928,3131,6871,0.692730726927307,0.687031296870313,0.681331866813319,1,1,1,"8.81681818181818e-07","7.97443181818182e-07","AST.PWY..L.arginine.degradation.II..AST.pathway."
"Pathway180",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5109..2.methylbutanoate.biosynthesis"
"Pathway181",9856,136,9866,146,9861,141,0.0145985401459854,0.0140985901409859,0.0135986401359864,0.0428757124287571,0.146889014802223,0.139728884254432,"4.841075e-05","6.92903681818182e-05","PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP."
"Pathway182",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5129..sphingolipid.biosynthesis..plants."
"Pathway183",50,9949,53,9952,51.5,9950.5,0.995100489951005,0.994950504949505,0.994800519948005,1,1,1,"7.11693181818182e-06","3.11468181818182e-06","PWY.5136..fatty.acid..beta..oxidation.II..peroxisome."
"Pathway184",733,9203,799,9269,766,9236,0.926807319268073,0.923507649235076,0.92020797920208,1,1,1,"4.86595454545455e-07","8.21409090909091e-08","PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation"
"Pathway185",9611,383,9619,391,9615,387,0.0390960903909609,0.0386961303869613,0.0382961703829617,0.104728302679936,0.275730321704672,0.262885103894674,"8.66682954545455e-05","0.000113711972727273","PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline."
"Pathway186",1140,8822,1180,8862,1160,8842,0.886111388861114,0.884111588841116,0.882111788821118,1,1,1,"1.39165909090909e-06","1.28429545454545e-06","PWY.5173..superpathway.of.acetyl.CoA.biosynthesis"
"Pathway187",573,9413,589,9429,581,9421,0.942805719428057,0.942005799420058,0.941205879412059,1,1,1,"0.000144862818181818","0.000119653731818182","PWY.5177..glutaryl.CoA.degradation"
"Pathway188",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5178..toluene.degradation.IV..aerobic...via.catechol."
"Pathway189",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5179..toluene.degradation.V..aerobic...via.toluene.cis.diol."
"Pathway19",9997,5,9997,5,9997,5,0.0004999500049995,0.0004999500049995,0.0004999500049995,0.00219650166130928,0.0414140404141404,0.0414140404141404,"3.79039772727273e-05","8.80187181818182e-05","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I"
"Pathway190",8721,746,9256,1281,8988.5,1013.5,0.128087191280872,0.101339866013399,0.0745925407459254,0.173833051477461,0.520633650920622,0.434545345465453,"4.22727272727273e-08","6.57087e-07","PWY.5180..toluene.degradation.I..aerobic...via.o.cresol."
"Pathway191",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5181..toluene.degradation.III..aerobic...via.p.cresol."
"Pathway192",8721,746,9256,1281,8988.5,1013.5,0.128087191280872,0.101339866013399,0.0745925407459254,0.173833051477461,0.520633650920622,0.434545345465453,"4.22727272727273e-08","6.57087e-07","PWY.5182..toluene.degradation.II..aerobic...via.4.methylcatechol."
"Pathway193",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5183..superpathway.of.aerobic.toluene.degradation"
"Pathway194",7027,2921,7081,2975,7054,2948,0.297470252974703,0.294770522947705,0.292070792920708,0.572523769520858,1,0.836358469416216,"0.000141186045454545","0.000145159972727273","PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate."
"Pathway195",9990,11,9991,12,9990.5,11.5,0.0011998800119988,0.00114988501149885,0.0010998900109989,0.00453493112227239,0.0414140404141404,0.0414140404141404,"2.33313636363636e-05","7.02859386363636e-05","PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine."
"Pathway196",8341,1581,8421,1661,8381,1621,0.166083391660834,0.162083791620838,0.158084191580842,0.337582178037176,0.645077521233384,0.61614831424659,"9.595e-07","1.65657717727273e-06","PWY.5198..factor.420.biosynthesis"
"Pathway197",9562,1,10001,440,9781.5,220.5,0.043995600439956,0.022047795220478,9.99900009999e-05,0.000454191868948698,0.284116166696583,0.200298614206376,"0","2.00564704545455e-07","PWY.5265..peptidoglycan.biosynthesis.II..staphylococci."
"Pathway198",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5304..superpathway.of.sulfur.oxidation..Acidianus.ambivalens."
"Pathway199",2201,4988,5014,7801,3607.5,6394.5,0.78002199780022,0.639386061393861,0.498750124987501,0.826250708262507,1,1,"1.25227272727273e-07","4.02272727272727e-08","PWY.5306..superpathway.of.thiosulfate.metabolism..Desulfovibrio.sulfodismutans."
"Pathway2",8712,1163,8839,1290,8775.5,1226.5,0.128987101289871,0.122637736226377,0.116288371162884,0.255453143210269,0.520633650920622,0.501784936010216,"2.53200029545455e-07","4.55747422727273e-07","X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation"
"Pathway20",4173,5784,4218,5829,4195.5,5806.5,0.582841715828417,0.580591940805919,0.578342165783422,0.925347465253475,1,0.978607799597399,"0.000510230977272727","0.000495014181818182","BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis"
"Pathway200",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5328..superpathway.of.L.methionine.salvage.and.degradation"
"Pathway201",146,9851,151,9856,148.5,9853.5,0.985501449855015,0.985251474852515,0.985001499850015,1,1,1,"3.45828181818182e-05","2.05619772727273e-05","PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation."
"Pathway202",9351,643,9359,651,9355,647,0.0650934906509349,0.0646935306469353,0.0642935706429357,0.154535219123828,0.335481836431741,0.321071596544049,"0.0001939525","0.000231475363636364","PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration."
"Pathway203",608,9383,619,9394,613.5,9388.5,0.939306069393061,0.938756124387561,0.938206179382062,1,1,1,"9.07331281818182e-05","5.73008845454545e-05","PWY.5367..petroselinate.biosynthesis"
"Pathway204",1,5097,4905,10001,2453,7549,1,0.754824517548245,0.50964903509649,0.835388020830945,1,1,"1.25681818181818e-08","0","PWY.5381..pyridine.nucleotide.cycling..plants."
"Pathway205",9816,179,9823,186,9819.5,182.5,0.0185981401859814,0.0182481751824818,0.0178982101789821,0.0551347164134161,0.174887774380457,0.168638308582935,"2.822885e-05","5.24260138636364e-05","PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase."
"Pathway206",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5392..reductive.TCA.cycle.II"
"Pathway207",7036,2590,7412,2966,7224,2778,0.296570342965703,0.277772222777722,0.258974102589741,0.517948205179482,1,0.804788710318157,"1.64795454545455e-07","1.61628159090909e-07","PWY.5415..catechol.degradation.I..meta.cleavage.pathway."
"Pathway208",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000454191868948698,1,0.864861900906684,"0","0","PWY.5417..catechol.degradation.III..ortho.cleavage.pathway."
