"Species","Increasing.Rank.Min","Decreasing.Rank.Min","Increasing.Rank.Max","Decreasing.Rank.Max","Increasing.Rank.Average","Decreasing.Rank.Average","Decre.maxRank.P","Decre.aveRank.P","Decre.minRank.P","Decre.minRank.P.FDR","Decre.maxRank.P.FDR","Decre.aveRank.P.FDR","Ctlmean","Dismean","Origin"
"Pathway121",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PANTO.PWY..phosphopantothenate.biosynthesis.I"
"Pathway122",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I"
"Pathway123",225,9772,230,9777,227.5,9774.5,0.977602239776022,0.977352264773523,0.977102289771023,0.980701929807019,1,0.981051894810519,"0.000231416483783784","0.000208117297297297","PENTOSE.P.PWY..pentose.phosphate.pathway"
"Pathway124",5424,4518,5484,4578,5454,4548,0.457754224577542,0.454754524547545,0.451754824517548,0.603841860203007,1,0.647407722995816,"0.000550312162162162","0.000534127837837838","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing."
"Pathway125",5316,4618,5384,4686,5350,4652,0.468553144685531,0.465153484651535,0.461753824617538,0.607405926074059,1,0.647407722995816,"0.000236865741081081","0.000242486132432432","PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria."
"Pathway126",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PHOTOALL.PWY..oxygenic.photosynthesis"
"Pathway127",8422,1551,8451,1580,8436.5,1565.5,0.157984201579842,0.156534346565343,0.155084491550845,0.271639285582842,1,0.647407722995816,"1.53768301351351e-05","1.75402248918919e-05","POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II"
"Pathway128",1571,8393,1609,8431,1590,8412,0.843015698430157,0.841115888411159,0.839216078392161,0.895659141839295,1,0.899876479417927,"5.10597864864865e-05","4.40369108108108e-05","POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I"
"Pathway129",7127,2828,7174,2875,7150.5,2851.5,0.287471252874713,0.285121487851215,0.282771722827717,0.429364428996194,1,0.647407722995816,"2.25562559459459e-05","2.53215713513514e-05","POLYISOPRENSYN.PWY..polyisoprenoid.biosynthesis..E..coli."
"Pathway13",9477,511,9491,525,9484,518,0.0524947505249475,0.0517948205179482,0.0510948905109489,0.112241234892904,1,0.647407722995816,"4.63606386486487e-06","8.72393240540541e-06","ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion"
"Pathway130",3059,6875,3127,6943,3093,6909,0.694230576942306,0.690830916908309,0.687431256874313,0.7860928192895,1,0.812029323383451,"3.18743508108108e-05","3.27412118918919e-05","PPGPPMET.PWY..ppGpp.biosynthesis"
"Pathway131",8664,1270,8732,1338,8698,1304,0.133786621337866,0.13038696130387,0.126987301269873,0.235190226681799,1,0.647407722995816,"6.92682648648649e-07","1.40042018918919e-06","PROPFERM.PWY..L.alanine.fermentation.to.propanoate.and.acetate"
"Pathway132",7095,2712,7290,2907,7192.5,2809.5,0.290670932906709,0.280921907809219,0.271172882711729,0.416471819866724,1,0.647407722995816,"5.24124216216216e-07","1.42595475675676e-06","PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway."
"Pathway133",9192,783,9219,810,9205.5,796.5,0.080991900809919,0.0796420357964204,0.0782921707829217,0.162653502091651,1,0.647407722995816,"0.000139293597297297","0.000154495302702703","PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis"
"Pathway134",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.101..photosynthesis.light.reactions"
"Pathway135",1778,8189,1813,8224,1795.5,8206.5,0.822317768223178,0.820567943205679,0.818818118188181,0.88609086777439,1,0.887985395008886,"0.000699922864864865","0.000678093567567568","PWY.1042..glycolysis.IV..plant.cytosol."
"Pathway136",2454,7492,2510,7548,2482,7520,0.754724527547245,0.751924807519248,0.749125087491251,0.840023110659645,1,0.845318390916649,"0.000152001845945946","0.000147686172972973","PWY.1269..CMP.3.deoxy.D.manno.octulosonate.biosynthesis.I"
"Pathway137",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.1541..superpathway.of.taurine.degradation"
"Pathway138",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.1622..formaldehyde.assimilation.I..serine.pathway."
"Pathway139",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.181..photorespiration"
"Pathway14",6713,3228,6774,3289,6743.5,3258.5,0.328867113288671,0.325817418258174,0.322767723227677,0.477910220027721,1,0.647407722995816,"0.000300258343243243","0.000299824540540541","ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine."
"Pathway140",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.1861..formaldehyde.assimilation.II..RuMP.Cycle."
"Pathway141",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.2201..folate.transformations.I"
"Pathway142",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.2221..Entner.Doudoroff.pathway.III..semi.phosphorylative."
"Pathway143",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type"
"Pathway144",9320,660,9342,682,9331,671,0.0681931806819318,0.0670932906709329,0.065993400659934,0.139261664384743,1,0.647407722995816,"2.94725034324324e-06","6.18590132432432e-06","PWY.2723..trehalose.degradation.V"
"Pathway145",2954,6995,3007,7048,2980.5,7021.5,0.704729527047295,0.702079792020798,0.699430056994301,0.795954374838525,1,0.821647966207746,"6.89407432432432e-05","6.82687972972973e-05","PWY.2941..L.lysine.biosynthesis.II"
"Pathway146",2080,7878,2124,7922,2102,7900,0.792120787921208,0.78992100789921,0.787721227877212,0.866978599881285,1,0.869399713006112,"0.000508779054054054","0.00048891027027027","PWY.2942..L.lysine.biosynthesis.III"
"Pathway147",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I"
"Pathway148",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.3502..superpathway.of.NAD.biosynthesis.in.eukaryotes"
"Pathway149",1747,6636,3366,8255,2556.5,7445.5,0.825417458254175,0.744475552444755,0.663533646635336,0.766495764216682,1,0.845318390916649,"3.88844054054054e-08","7.37938648648649e-09","PWY.3661..glycine.betaine.degradation.I"
"Pathway15",6535,3418,6584,3467,6559.5,3442.5,0.346665333466653,0.344215578442156,0.341765823417658,0.493764100678881,1,0.647407722995816,"0.000145574053243243","0.000143637635135135","ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."
"Pathway150",6347,3536,6466,3655,6406.5,3595.5,0.365463453654635,0.35951404859514,0.353564643535646,0.503170680307297,1,0.647407722995816,"2.20522989189189e-06","2.46599421621622e-06","PWY.3781..aerobic.respiration.I..cytochrome.c."
"Pathway151",8148,1719,8283,1854,8215.5,1786.5,0.185381461853815,0.178632136786321,0.171882811718828,0.292473609781879,1,0.647407722995816,"3.00652162162162e-06","8.03215108108108e-06","PWY.3801..sucrose.degradation.II..sucrose.synthase."
"Pathway152",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.3841..folate.transformations.II"
"Pathway153",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.3941...beta..alanine.biosynthesis.II"
"Pathway154",7490,2464,7538,2512,7514,2488,0.251174882511749,0.248775122487751,0.246375362463754,0.385006397319452,1,0.647407722995816,"9.93799456756757e-06","1.32364134486486e-05","PWY.4041...gamma..glutamyl.cycle"
"Pathway155",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.4221..pantothenate.and.coenzyme.A.biosynthesis.II..plants."
"Pathway156",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III"
"Pathway157",8622,1343,8659,1380,8640.5,1361.5,0.137986201379862,0.136136386361364,0.134286571342866,0.243167575134378,1,0.647407722995816,"5.45259718918919e-06","7.33676045135135e-06","PWY.4321..L.glutamate.degradation.IV"
"Pathway158",1,4936,5066,10001,2533.5,7468.5,1,0.746775322467753,0.493550644935506,0.628022505806291,1,0.845318390916649,"2.42494054054054e-09","0","PWY.4361..S.methyl.5.thio..alpha..D.ribose.1.phosphate.degradation"
"Pathway159",8051,1918,8084,1951,8067.5,1934.5,0.195080491950805,0.193430656934307,0.191780821917808,0.316290832455216,1,0.647407722995816,"9.72925927027027e-06","1.31282568702703e-05","PWY.4702..phytate.degradation.I"
"Pathway16",5367,4572,5430,4635,5398.5,4603.5,0.463453654634537,0.46030396960304,0.457154284571543,0.607405926074059,1,0.647407722995816,"0.000503976918918919","0.000487895783783784","ARO.PWY..chorismate.biosynthesis.I"
"Pathway160",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.4722..creatinine.degradation.II"
"Pathway161",1492,8462,1540,8510,1516,8486,0.850914908509149,0.848515148485152,0.846115388461154,0.899837000426941,1,0.90598430196821,"0.000120283997297297","0.000109005202702703","PWY.4981..L.proline.biosynthesis.II..from.arginine."
"Pathway162",4169,5769,4233,5833,4201,5801,0.583241675832417,0.58004199580042,0.576842315768423,0.704299501712699,1,0.728108922128864,"6.89198189189189e-05","7.05170189189189e-05","PWY.4984..urea.cycle"
"Pathway163",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5004..superpathway.of.L.citrulline.metabolism"
"Pathway164",1002,8973,1029,9000,1015.5,8986.5,0.8999100089991,0.898560143985601,0.897210278972103,0.93395931724657,1,0.938740367208415,"1.99767664324324e-05","1.01770263513514e-05","PWY.5005..biotin.biosynthesis.II"
"Pathway165",1931,8034,1968,8071,1949.5,8052.5,0.807019298070193,0.805169483051695,0.803319668033197,0.876943670195099,1,0.878963020194925,"3.02250065135135e-05","2.18846629189189e-05","PWY.5022..4.aminobutanoate.degradation.V"
"Pathway166",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5028..L.histidine.degradation.II"
"Pathway167",4781,5172,4830,5221,4805.5,5196.5,0.522047795220478,0.51959804019598,0.517148285171483,0.644631350818407,1,0.667876617614018,"0.000145219478378378","0.000134317889189189","PWY.5030..L.histidine.degradation.III"
"Pathway168",9560,423,9579,442,9569.5,432.5,0.0441955804419558,0.0432456754324568,0.0422957704229577,0.0952543401122073,1,0.647407722995816,"4.01310213513514e-06","8.503473e-06","PWY.5044..purine.nucleotides.degradation.I..plants."
"Pathway169",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5067..glycogen.biosynthesis.II..from.UDP.D.Glucose."
"Pathway17",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"
"Pathway170",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5079..L.phenylalanine.degradation.III"
"Pathway171",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5080..very.long.chain.fatty.acid.biosynthesis.I"
"Pathway172",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5081..L.tryptophan.degradation.VIII..to.tryptophol."
"Pathway173",6826,3119,6883,3176,6854.5,3147.5,0.317568243175682,0.314718528147185,0.311868813118688,0.463051755766252,1,0.647407722995816,"2.3241942972973e-05","2.31968841351351e-05","PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation"
"Pathway174",9459,525,9477,543,9468,534,0.0542945705429457,0.0533946605339466,0.0524947505249475,0.11391573393268,1,0.647407722995816,"1.93763848648649e-06","5.62042908108108e-06","PWY.5088..L.glutamate.degradation.VIII..to.propanoate."
"Pathway175",4878,5063,4939,5124,4908.5,5093.5,0.512348765123488,0.509299070092991,0.506249375062494,0.633994544470787,1,0.656212263389046,"0.000512390567567568","0.000501580189189189","PWY.5097..L.lysine.biosynthesis.VI"
"Pathway176",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II"
"Pathway177",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5101..L.isoleucine.biosynthesis.II"
"Pathway178",4050,5896,4106,5952,4078,5924,0.595140485951405,0.592340765923408,0.58954104589541,0.714918553393529,1,0.738359652406852,"0.000554608","0.000537716081081081","PWY.5103..L.isoleucine.biosynthesis.III"
"Pathway179",5325,4608,5394,4677,5359.5,4642.5,0.467653234676532,0.464203579642036,0.460753924607539,0.607405926074059,1,0.647407722995816,"0.000105465178378378","9.49811864864865e-05","PWY.5104..L.isoleucine.biosynthesis.IV"
"Pathway18",9072,889,9113,930,9092.5,909.5,0.092990700929907,0.0909409059094091,0.0888911108889111,0.17646531643132,1,0.647407722995816,"1.40100243243243e-06","3.16305994594595e-06","AST.PWY..L.arginine.degradation.II..AST.pathway."
"Pathway180",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5109..2.methylbutanoate.biosynthesis"
"Pathway181",2313,7650,2352,7689,2332.5,7669.5,0.768823117688231,0.766873312668733,0.764923507649235,0.850620332157656,1,0.852788580063156,"0.000124480572972973","0.000113892432432432","PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP."
"Pathway182",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5129..sphingolipid.biosynthesis..plants."
"Pathway183",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5136..fatty.acid..beta..oxidation.II..peroxisome."
"Pathway184",8499,1462,8540,1503,8519.5,1482.5,0.15028497150285,0.148235176482352,0.146185381461854,0.259454849217065,1,0.647407722995816,"2.40677397297297e-06","3.35728481891892e-06","PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation"
"Pathway185",5802,4140,5862,4200,5832,4170,0.41995800419958,0.416958304169583,0.413958604139586,0.564584762897756,1,0.647407722995816,"0.000164228259459459","0.000166700391891892","PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline."
"Pathway186",6378,3569,6433,3624,6405.5,3596.5,0.362363763623638,0.35961403859614,0.356864313568643,0.503170680307297,1,0.647407722995816,"9.73966235135135e-06","1.19709554864865e-05","PWY.5173..superpathway.of.acetyl.CoA.biosynthesis"
"Pathway187",7431,2518,7484,2571,7457.5,2544.5,0.257074292570743,0.254424557544246,0.251774822517748,0.390032673033275,1,0.647407722995816,"0.000119698524324324","0.000119971767567568","PWY.5177..glutaryl.CoA.degradation"
"Pathway188",7139,2402,7600,2863,7369.5,2632.5,0.286271372862714,0.263223677632237,0.24017598240176,0.378630372256892,1,0.647407722995816,"2.44795313513514e-07","8.87845297297297e-07","PWY.5178..toluene.degradation.IV..aerobic...via.catechol."
"Pathway189",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5179..toluene.degradation.V..aerobic...via.toluene.cis.diol."
"Pathway19",849,9129,873,9153,861,9141,0.915208479152085,0.914008599140086,0.912808719128087,0.940895141255105,1,0.943947223774733,"0.00018305927027027","0.000160657961621622","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I"
"Pathway190",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5180..toluene.degradation.I..aerobic...via.o.cresol."
"Pathway191",6255,3377,6625,3747,6440,3562,0.374662533746625,0.356164383561644,0.337666233376662,0.493158313596433,1,0.647407722995816,"2.82836935135135e-07","7.66456108108108e-07","PWY.5181..toluene.degradation.III..aerobic...via.p.cresol."
"Pathway192",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5182..toluene.degradation.II..aerobic...via.4.methylcatechol."
"Pathway193",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5183..superpathway.of.aerobic.toluene.degradation"
"Pathway194",4660,5275,4727,5342,4693.5,5308.5,0.534146585341466,0.530796920307969,0.527447255274473,0.65442529821092,1,0.680639113122181,"0.000129088224324324","0.000128072159459459","PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate."
"Pathway195",3465,6471,3531,6537,3498,6504,0.653634636536346,0.65033496650335,0.647035296470353,0.757229080585391,1,0.77807933492365,"9.7064772972973e-05","9.29503810810811e-05","PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine."
"Pathway196",6524,3338,6664,3478,6594,3408,0.347765223477652,0.340765923407659,0.333766623337666,0.488794836363358,1,0.647407722995816,"1.66977278378378e-06","2.16902748648649e-06","PWY.5198..factor.420.biosynthesis"
"Pathway197",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5265..peptidoglycan.biosynthesis.II..staphylococci."
"Pathway198",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5304..superpathway.of.sulfur.oxidation..Acidianus.ambivalens."
"Pathway199",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5306..superpathway.of.thiosulfate.metabolism..Desulfovibrio.sulfodismutans."
"Pathway2",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY..4.hydroxyphenylacetate.degradation"
"Pathway20",3579,6374,3628,6423,3603.5,6398.5,0.642235776422358,0.63978602139786,0.637336266373363,0.754110902375546,1,0.774097759524273,"0.000569902432432432","0.000551235675675676","BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis"
"Pathway200",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5328..superpathway.of.L.methionine.salvage.and.degradation"
"Pathway201",9437,557,9445,565,9441,561,0.0564943505649435,0.0560943905609439,0.0556944305569443,0.120371833784363,1,0.647407722995816,"5.31493743243243e-05","7.32186810810811e-05","PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation."
"Pathway202",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration."
"Pathway203",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5367..petroselinate.biosynthesis"
"Pathway204",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5381..pyridine.nucleotide.cycling..plants."
"Pathway205",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase."
"Pathway206",1,1,10001,10001,5001,5001,1,0.5000499950005,9.99900009999e-05,0.000236099738043817,1,0.647407722995816,"0","0","PWY.5392..reductive.TCA.cycle.II"
"Pathway207",9117,826,9176,885,9146.5,855.5,0.0884911508849115,0.0855414458554145,0.0825917408259174,0.168966309475923,1,0.647407722995816,"3.21701378378378e-07","1.36492491891892e-06","PWY.5415..catechol.degradation.I..meta.cleavage.pathway."
"Pathway208",7940,1842,8160,2062,8050,1952,0.206179382061794,0.195180481951805,0.184181581841816,0.306587974742898,1,0.647407722995816,"3.02549135135135e-07","7.90680054054054e-07","PWY.5417..catechol.degradation.III..ortho.cleavage.pathway."
"Pathway209",7940,1842,8160,2062,8050,1952,0.206179382061794,0.195180481951805,0.184181581841816,0.306587974742898,1,0.647407722995816,"3.02549135135135e-07","7.90680054054054e-07","PWY.5431..aromatic.compounds.degradation.via..beta..ketoadipate"
