Species,Increasing.Rank.Min,Decreasing.Rank.Min,Increasing.Rank.Max,Decreasing.Rank.Max,Increasing.Rank.Average,Decreasing.Rank.Average,Decre.maxRank.P,Decre.aveRank.P,Incre.aveRank.P,Decre.minRank.P,Decre.minRank.P.FDR,Decre.maxRank.P.FDR,Decre.aveRank.P.FDR,Ctlmean,Dismean,Shape,Label,Label2,Origin
Pathway112,9933,69,9933,69,9933,69,0.00689931,0.00689931,0.99320 ,0.00689931,0.115563444,0.290942334,0.290942334,5.64E-06,7.08E-06,B,,,P221.PWY..octane.oxidation
Pathway296,9928,74,9928,74,9928,74,0.00739926,0.00739926,0.99270 ,0.00739926,0.116376934,0.290942334,0.290942334,2.89E-06,6.85E-06,B,Adenosylcobalamin salvage from cobinamide II,,PWY.6269..adenosylcobalamin.salvage.from.cobinamide.II
Pathway55,9928,74,9928,74,9928,74,0.00739926,0.00739926,0.99270 ,0.00739926,0.116376934,0.290942334,0.290942334,6.14E-05,7.51E-05,A,,,GLUCONEO.PWY..gluconeogenesis.I
Pathway109,9926,76,9926,76,9926,76,0.00759924,0.00759924,0.99250 ,0.00759924,0.116376934,0.290942334,0.290942334,3.09E-05,4.09E-05,B,,,P164.PWY..purine.nucleobases.degradation.I..anaerobic.
Pathway167,9896,106,9896,106,9896,106,0.01059894,0.01059894,0.98950 ,0.01059894,0.157806442,0.307202269,0.301124527,6.31E-05,7.64E-05,B,,,PWY.5030..L.histidine.degradation.III
Pathway177,9893,109,9893,109,9893,109,0.01089891,0.01089891,0.98920 ,0.01089891,0.157886914,0.307202269,0.301124527,7.76E-05,0.000101802,B,,,PWY.5101..L.isoleucine.biosynthesis.II
Pathway436,9874,128,9874,128,9874,128,0.01279872,0.01279872,0.98730 ,0.01279872,0.180391717,0.307202269,0.301124527,4.11E-05,5.16E-05,B,,,PWY.7392..taxadiene.biosynthesis..engineered.
Pathway437,9865,136,9866,137,9865.5,136.5,0.01369863,0.013648635,0.98645 ,0.01359864,0.180391717,0.307202269,0.301124527,2.92E-07,4.14E-07,B,,,PWY.7399..methylphosphonate.degradation.II
Pathway332,9863,138,9864,139,9863.5,138.5,0.01389861,0.013848615,0.98625 ,0.01379862,0.180391717,0.307202269,0.301124527,1.05E-05,1.18E-05,B,,,PWY.6596..adenosine.nucleotides.degradation.I
Pathway452,9857,133,9869,145,9863,139,0.01449855,0.01389861,0.98620 ,0.01329867,0.180391717,0.307202269,0.301124527,6.24E-09,2.86E-08,B,Methanol oxidation to carbon dioxide,,PWY.7616..methanol.oxidation.to.carbon.dioxide
Pathway13,9859,142,9860,143,9859.5,142.5,0.01429857,0.014248575,0.98585 ,0.01419858,0.181200928,0.307202269,0.301124527,5.89E-06,8.44E-06,B,,,ARGORNPROST.PWY..arginine..ornithine.and.proline.interconversion
Pathway283,9850,152,9850,152,9850,152,0.01519848,0.01519848,0.98490 ,0.01519848,0.189450822,0.307202269,0.301124527,4.52E-05,6.67E-05,B,,,PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I
Pathway447,9845,157,9845,157,9845,157,0.01569843,0.01569843,0.98440 ,0.01569843,0.190558722,0.307202269,0.301124527,6.61E-05,7.99E-05,B,,,PWY.7539..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.III..Chlamydia.
Pathway4,9842,160,9842,160,9842,160,0.0159984,0.0159984,0.98410 ,0.0159984,0.190558722,0.307202269,0.301124527,1.08E-06,2.15E-06,B,,,AEROBACTINSYN.PWY..aerobactin.biosynthesis
Pathway240,9838,164,9838,164,9838,164,0.01639836,0.01639836,0.98370 ,0.01639836,0.191076545,0.307202269,0.301124527,1.97E-05,2.57E-05,B,,,PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I
Pathway79,9827,175,9827,175,9827,175,0.01749825,0.01749825,0.98260 ,0.01749825,0.199554513,0.307202269,0.301124527,1.21E-05,1.57E-05,B,,,KETOGLUCONMET.PWY..ketogluconate.metabolism
Pathway245,9819,181,9821,183,9820,182,0.01829817,0.01819818,0.98190 ,0.01809819,0.202096457,0.307202269,0.301124527,2.07E-06,4.68E-06,B,,,PWY.5856..ubiquinol.9.biosynthesis..prokaryotic.
Pathway248,9810,192,9810,192,9810,192,0.01919808,0.01919808,0.98090 ,0.01919808,0.210003489,0.307202269,0.301124527,1.61E-05,2.05E-05,B,,,PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis
Pathway334,9792,210,9792,210,9792,210,0.0209979,0.0209979,0.97910 ,0.0209979,0.22509749,0.307202269,0.301124527,5.46E-05,6.14E-05,B,,,PWY.6606..guanosine.nucleotides.degradation.II
Pathway3,9770,231,9771,232,9770.5,231.5,0.02319768,0.023147685,0.97695 ,0.02309769,0.237205909,0.307202269,0.301124527,7.58E-08,1.78E-07,B,,,X7ALPHADEHYDROX.PWY..cholate.degradation..bacteria..anaerobic.
Pathway89,9768,233,9769,234,9768.5,233.5,0.02339766,0.023347665,0.97675 ,0.02329767,0.237205909,0.307202269,0.301124527,7.93E-06,9.91E-06,B,,,METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation
Pathway213,9762,238,9764,240,9763,239,0.0239976,0.02389761,0.97620 ,0.02379762,0.237205909,0.307202269,0.301124527,2.66E-07,7.10E-07,B,,,PWY.5508..adenosylcobalamin.biosynthesis.from.cobyrinate.a.c.diamide.II
Pathway414,9761,239,9763,241,9762,240,0.02409759,0.0239976,0.97610 ,0.02389761,0.237205909,0.307202269,0.301124527,1.57E-06,3.01E-06,B,,,PWY.7279..aerobic.respiration.II..cytochrome.c...yeast.
Pathway316,9755,244,9758,247,9756.5,245.5,0.02469753,0.024547545,0.97555 ,0.02439756,0.237765314,0.307202269,0.301124527,3.11E-06,4.72E-06,B,,,PWY.6435..4.hydroxybenzoate.biosynthesis.V
Pathway344,9740,262,9740,262,9740,262,0.02619738,0.02619738,0.97390 ,0.02619738,0.245207338,0.307202269,0.301124527,5.05E-06,4.93E-06,B,,,PWY.6690..cinnamate.and.3.hydroxycinnamate.degradation.to.2.oxopent.4.enoate
Pathway412,9731,271,9731,271,9731,271,0.02709729,0.02709729,0.97300 ,0.02709729,0.245207338,0.307202269,0.301124527,9.38E-06,1.06E-05,B,,,PWY.7269..NAD.NADP.NADH.NADPH.mitochondrial.interconversion..yeast.
Pathway517,9730,272,9730,272,9730,272,0.02719728,0.02719728,0.97290 ,0.02719728,0.245207338,0.307202269,0.301124527,1.68E-05,1.99E-05,B,,,TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA
Pathway113,9726,276,9726,276,9726,276,0.02759724,0.02759724,0.97250 ,0.02759724,0.245207338,0.307202269,0.301124527,6.14E-06,8.39E-06,B,,,P23.PWY..reductive.TCA.cycle.I
Pathway434,9719,282,9720,283,9719.5,282.5,0.02829717,0.028247175,0.97185 ,0.02819718,0.245207338,0.307202269,0.301124527,4.19E-06,6.11E-06,B,,,PWY.7389..superpathway.of.anaerobic.energy.metabolism..invertebrates.
Pathway418,9708,294,9708,294,9708,294,0.02939706,0.02939706,0.97070 ,0.02939706,0.245207338,0.307202269,0.301124527,1.20E-07,3.68E-07,B,Fatty acid ¦Â-oxidation VII,,PWY.7288..fatty.acid..beta..oxidation..peroxisome..yeast.
Pathway497,9707,294,9708,295,9707.5,294.5,0.02949705,0.029447055,0.97065 ,0.02939706,0.245207338,0.307202269,0.301124527,2.29E-07,6.62E-07,B,Fatty acid ¦Â-oxidation VI,,PWY66.391..fatty.acid..beta..oxidation.VI..peroxisome.
Pathway250,9702,300,9702,300,9702,300,0.029997,0.029997,0.97010 ,0.029997,0.245207338,0.307202269,0.301124527,1.21E-05,1.42E-05,B,,,PWY.5863..superpathway.of.phylloquinol.biosynthesis
Pathway256,9691,311,9691,311,9691,311,0.03109689,0.03109689,0.96900 ,0.03109689,0.245207338,0.307202269,0.301124527,2.00E-05,2.60E-05,B,,,PWY.5897..superpathway.of.menaquinol.11.biosynthesis
Pathway257,9691,311,9691,311,9691,311,0.03109689,0.03109689,0.96900 ,0.03109689,0.245207338,0.307202269,0.301124527,2.00E-05,2.60E-05,B,,,PWY.5898..superpathway.of.menaquinol.12.biosynthesis
Pathway258,9691,311,9691,311,9691,311,0.03109689,0.03109689,0.96900 ,0.03109689,0.245207338,0.307202269,0.301124527,2.00E-05,2.60E-05,B,,,PWY.5899..superpathway.of.menaquinol.13.biosynthesis
Pathway161,9673,329,9673,329,9673,329,0.03289671,0.03289671,0.96720 ,0.03289671,0.245207338,0.307202269,0.301124527,9.69E-05,0.000104491,B,,,PWY.4981..L.proline.biosynthesis.II..from.arginine.
Pathway463,9670,332,9670,332,9670,332,0.03319668,0.03319668,0.96690 ,0.03319668,0.245207338,0.307202269,0.301124527,8.30E-06,8.24E-06,B,,,PWY0.1277..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation
Pathway238,9668,334,9668,334,9668,334,0.03339666,0.03339666,0.96670 ,0.03339666,0.245207338,0.307202269,0.301124527,1.17E-05,1.39E-05,B,,,PWY.5791..1.4.dihydroxy.2.naphthoate.biosynthesis.II..plants.
Pathway239,9668,334,9668,334,9668,334,0.03339666,0.03339666,0.96670 ,0.03339666,0.245207338,0.307202269,0.301124527,1.17E-05,1.39E-05,B,,,PWY.5837..1.4.dihydroxy.2.naphthoate.biosynthesis.I
Pathway62,9667,335,9667,335,9667,335,0.03349665,0.03349665,0.96660 ,0.03349665,0.245207338,0.307202269,0.301124527,1.24E-05,1.49E-05,B,,,GLYCOL.GLYOXDEG.PWY..superpathway.of.glycol.metabolism.and.degradation
Pathway242,9662,339,9663,340,9662.5,339.5,0.0339966,0.033946605,0.96615 ,0.03389661,0.245207338,0.307202269,0.301124527,1.35E-05,1.71E-05,B,,,PWY.5845..superpathway.of.menaquinol.9.biosynthesis
Pathway255,9662,339,9663,340,9662.5,339.5,0.0339966,0.033946605,0.96615 ,0.03389661,0.245207338,0.307202269,0.301124527,1.35E-05,1.71E-05,B,,,PWY.5896..superpathway.of.menaquinol.10.biosynthesis
Pathway243,9659,341,9661,343,9660,342,0.03429657,0.03419658,0.96590 ,0.03409659,0.245207338,0.307202269,0.301124527,1.35E-05,1.71E-05,B,,,PWY.5850..superpathway.of.menaquinol.6.biosynthesis.I
Pathway232,9656,344,9658,346,9657,345,0.03459654,0.03449655,0.96560 ,0.03439656,0.245207338,0.307202269,0.301124527,3.88E-06,4.67E-06,B,,,PWY.5705..allantoin.degradation.to.glyoxylate.III
Pathway431,9650,351,9651,352,9650.5,351.5,0.03519648,0.035146485,0.96495 ,0.03509649,0.245207338,0.307202269,0.301124527,4.35E-06,6.16E-06,B,,,PWY.7384..anaerobic.energy.metabolism..invertebrates..mitochondrial.
Pathway53,9646,356,9646,356,9646,356,0.03559644,0.03559644,0.96450 ,0.03559644,0.245207338,0.307202269,0.301124527,1.01E-05,1.31E-05,B,,,GLUCARDEG.PWY..D.glucarate.degradation.I
Pathway427,9635,366,9636,367,9635.5,366.5,0.03669633,0.036646335,0.96345 ,0.03659634,0.245207338,0.307202269,0.301124527,4.30E-06,5.41E-06,B,,,PWY.7371..1.4.dihydroxy.6.naphthoate.biosynthesis.II
Pathway241,9620,382,9620,382,9620,382,0.03819618,0.03819618,0.96190 ,0.03819618,0.245207338,0.307202269,0.301124527,1.94E-05,2.44E-05,B,,,PWY.5840..superpathway.of.menaquinol.7.biosynthesis
Pathway114,9614,388,9614,388,9614,388,0.03879612,0.03879612,0.96130 ,0.03879612,0.245207338,0.307202269,0.301124527,1.57E-06,3.45E-06,B,,,P261.PWY..coenzyme.M.biosynthesis.I
Pathway354,9610,390,9612,392,9611,391,0.03919608,0.03909609,0.96100 ,0.0389961,0.245207338,0.307202269,0.301124527,5.32E-06,5.68E-06,B,,,PWY.6823..molybdenum.cofactor.biosynthesis
Pathway88,9606,392,9610,396,9608,394,0.03959604,0.03939606,0.96070 ,0.03919608,0.245207338,0.307202269,0.301124527,2.68E-06,6.16E-06,B,,,METHANOGENESIS.PWY..methanogenesis.from.H2.and.CO2
Pathway353,9599,403,9599,403,9599,403,0.04029597,0.04029597,0.95980 ,0.04029597,0.245207338,0.307202269,0.301124527,8.81E-06,1.32E-05,B,,,PWY.6803..phosphatidylcholine.acyl.editing
Pathway262,9598,403,9599,404,9598.5,403.5,0.04039596,0.040345965,0.95975 ,0.04029597,0.245207338,0.307202269,0.301124527,8.45E-06,1.05E-05,B,,,PWY.5920..superpathway.of.heme.biosynthesis.from.glycine
Pathway78,9591,411,9591,411,9591,411,0.04109589,0.04109589,0.95900 ,0.04109589,0.245207338,0.307202269,0.301124527,5.89E-06,6.77E-06,B,,,KDO.NAGLIPASYN.PWY..superpathway.of..Kdo.2.lipid.A.biosynthesis
Pathway268,9583,417,9585,419,9584,418,0.04189581,0.04179582,0.95830 ,0.04169583,0.245207338,0.307202269,0.301124527,2.85E-06,2.74E-06,B,,,PWY.6071..superpathway.of.phenylethylamine.degradation
Pathway468,9582,420,9582,420,9582,420,0.0419958,0.0419958,0.95810 ,0.0419958,0.245207338,0.307202269,0.301124527,4.86E-06,5.38E-06,B,,,PWY0.1338..polymyxin.resistance
Pathway348,9577,425,9577,425,9577,425,0.04249575,0.04249575,0.95760 ,0.04249575,0.245207338,0.307202269,0.301124527,7.87E-06,1.11E-05,B,,,PWY.6708..ubiquinol.8.biosynthesis..prokaryotic.
Pathway328,9569,428,9574,433,9571.5,430.5,0.04329567,0.043045695,0.95705 ,0.04279572,0.245207338,0.307202269,0.301124527,2.46E-07,4.36E-07,B,,,PWY.6562..norspermidine.biosynthesis
Pathway508,9551,451,9551,451,9551,451,0.04509549,0.04509549,0.95500 ,0.04509549,0.245207338,0.307202269,0.301124527,1.11E-05,1.28E-05,B,,,REDCITCYC..TCA.cycle.VIII..helicobacter.
Pathway342,9480,390,9612,522,9546,456,0.052194781,0.04559544,0.95450 ,0.0389961,0.245207338,0.307202269,0.301124527,5.07E-09,4.02E-07,B,,,PWY.6660..2.heptyl.3.hydroxy.4.1H..quinolone.biosynthesis
Pathway461,9544,456,9546,458,9545,457,0.04579542,0.04569543,0.95440 ,0.04559544,0.245207338,0.307202269,0.301124527,7.95E-06,9.44E-06,B,,,PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis
Pathway362,9542,459,9543,460,9542.5,459.5,0.0459954,0.045945405,0.95415 ,0.04589541,0.245207338,0.307202269,0.301124527,0.000122629,0.000141531,B,,,PWY.6897..thiamin.salvage.II
Pathway343,9446,366,9636,556,9541,461,0.055594441,0.04609539,0.95400 ,0.03659634,0.245207338,0.307202269,0.301124527,4.76E-09,3.80E-07,B,,,PWY.6662..superpathway.of.quinolone.and.alkylquinolone.biosynthesis
Pathway23,9539,462,9540,463,9539.5,462.5,0.04629537,0.046245375,0.95385 ,0.04619538,0.245207338,0.307202269,0.301124527,9.48E-06,1.11E-05,B,,,CENTFERM.PWY..pyruvate.fermentation.to.butanoate
Pathway369,9539,462,9540,463,9539.5,462.5,0.04629537,0.046245375,0.95385 ,0.04619538,0.245207338,0.307202269,0.301124527,6.10E-06,6.07E-06,B,,,PWY.7007..methyl.ketone.biosynthesis
Pathway68,9537,465,9537,465,9537,465,0.04649535,0.04649535,0.95360 ,0.04649535,0.245207338,0.307202269,0.301124527,5.33E-06,5.60E-06,B,,,HCAMHPDEG.PWY..3.phenylpropanoate.and.3..3.hydroxyphenyl.propanoate.degradation.to.2.oxopent.4.enoate
Pathway249,9531,471,9531,471,9531,471,0.04709529,0.04709529,0.95300 ,0.04709529,0.245207338,0.307202269,0.301124527,1.11E-05,1.34E-05,B,,,PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis
Pathway247,9529,473,9529,473,9529,473,0.04729527,0.04729527,0.95280 ,0.04729527,0.245207338,0.307202269,0.301124527,1.12E-05,1.34E-05,B,,,PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I
Pathway41,9525,477,9525,477,9525,477,0.04769523,0.04769523,0.95240 ,0.04769523,0.245207338,0.307202269,0.301124527,7.04E-05,8.22E-05,B,,,FASYN.ELONG.PWY..fatty.acid.elongation....saturated
Pathway439,9522,480,9522,480,9522,480,0.0479952,0.0479952,0.95210 ,0.0479952,0.245207338,0.307202269,0.301124527,6.88E-06,6.77E-06,B,,,PWY.7409..phospholipid.remodeling..phosphatidylethanolamine..yeast.
Pathway286,9516,478,9524,486,9520,482,0.04859514,0.04819518,0.95190 ,0.04779522,0.245207338,0.307202269,0.301124527,6.80E-07,1.31E-06,B,,,PWY.6165..chorismate.biosynthesis.II..archaea.
Pathway6,9515,484,9518,487,9516.5,485.5,0.04869513,0.048545145,0.95155 ,0.04839516,0.245207338,0.307202269,0.301124527,4.67E-06,5.28E-06,B,,,ALLANTOINDEG.PWY..superpathway.of.allantoin.degradation.in.yeast
Pathway360,9506,496,9506,496,9506,496,0.04959504,0.04959504,0.95050 ,0.04959504,0.245207338,0.307202269,0.301124527,5.17E-05,5.79E-05,B,,,PWY.6892..thiazole.biosynthesis.I..E..coli.
Pathway528,9505,496,9506,497,9505.5,496.5,0.04969503,0.049645035,0.95045 ,0.04959504,0.245207338,0.307202269,0.301124527,7.16E-06,8.45E-06,B,,,UBISYN.PWY..superpathway.of.ubiquinol.8.biosynthesis..prokaryotic.
Pathway373,9501,495,9507,501,9504,498,0.050094991,0.04979502,0.95030 ,0.04949505,0.245207338,0.307202269,0.301124527,1.87E-06,2.20E-06,B,,,PWY.7039..phosphatidate.metabolism..as.a.signaling.molecule
Pathway144,9499,503,9499,503,9499,503,0.050294971,0.050294971,0.94981 ,0.050294971,0.245207338,0.307202269,0.301124527,8.92E-06,1.02E-05,B,,,PWY.2723..trehalose.degradation.V
Pathway244,9494,508,9494,508,9494,508,0.050794921,0.050794921,0.94931 ,0.050794921,0.245207338,0.307202269,0.301124527,7.62E-06,1.10E-05,B,,,PWY.5855..ubiquinol.7.biosynthesis..prokaryotic.
Pathway246,9494,508,9494,508,9494,508,0.050794921,0.050794921,0.94931 ,0.050794921,0.245207338,0.307202269,0.301124527,7.62E-06,1.10E-05,B,,,PWY.5857..ubiquinol.10.biosynthesis..prokaryotic.
Pathway116,9484,517,9485,518,9484.5,517.5,0.051794821,0.051744826,0.94836 ,0.051694831,0.245207338,0.307202269,0.301124527,6.65E-05,7.57E-05,B,,,P42.PWY..incomplete.reductive.TCA.cycle
Pathway48,9484,517,9485,518,9484.5,517.5,0.051794821,0.051744826,0.94836 ,0.051694831,0.245207338,0.307202269,0.301124527,7.98E-06,8.76E-06,B,,,GALACTARDEG.PWY..D.galactarate.degradation.I
Pathway54,9484,517,9485,518,9484.5,517.5,0.051794821,0.051744826,0.94836 ,0.051694831,0.245207338,0.307202269,0.301124527,7.98E-06,8.76E-06,B,,,GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation
Pathway5,9483,517,9485,519,9484,518,0.051894811,0.051794821,0.94831 ,0.051694831,0.245207338,0.307202269,0.301124527,1.02E-05,1.28E-05,B,,,ALL.CHORISMATE.PWY..superpathway.of.chorismate.metabolism
Pathway389,9471,526,9476,531,9473.5,528.5,0.053094691,0.052844716,0.94726 ,0.052594741,0.247287552,0.307202269,0.301124527,1.26E-06,3.14E-06,B,,,PWY.7200..superpathway.of.pyrimidine.deoxyribonucleoside.salvage
Pathway271,9464,533,9469,538,9466.5,535.5,0.053794621,0.053544646,0.94656 ,0.053294671,0.248399508,0.307202269,0.301124527,2.01E-07,5.70E-07,B,,,PWY.6107..chlorosalicylate.degradation
Pathway455,9463,539,9463,539,9463,539,0.053894611,0.053894611,0.94621 ,0.053894611,0.249030269,0.307202269,0.301124527,0.000127313,0.000148375,B,,,PWY.7663..gondoate.biosynthesis..anaerobic.
Pathway445,8913,1,10001,1089,9457,545,0.108889111,0.054494551,0.94561 ,1.00E-04,0.00243612,0.413660042,0.301124527,0,3.34E-08,B,,,PWY.7527..L.methionine.salvage.cycle.III
Pathway45,9457,545,9457,545,9457,545,0.054494551,0.054494551,0.94561 ,0.054494551,0.249650249,0.307202269,0.301124527,2.10E-05,2.51E-05,B,,,FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation
Pathway349,9448,552,9450,554,9449,553,0.055394461,0.055294471,0.94481 ,0.055194481,0.250713912,0.307202269,0.3024269,5.33E-06,5.81E-06,B,,,PWY.6731..starch.degradation.III
Pathway166,9422,572,9430,580,9426,576,0.057994201,0.057594241,0.94251 ,0.057194281,0.257614575,0.312635403,0.309600108,3.13E-07,1.77E-06,B,,,PWY.5028..L.histidine.degradation.II
Pathway72,9423,579,9423,579,9423,579,0.057894211,0.057894211,0.94221 ,0.057894211,0.258594141,0.312635403,0.309600108,3.18E-05,3.90E-05,B,,,HISDEG.PWY..L.histidine.degradation.I
Pathway385,9417,584,9418,585,9417.5,584.5,0.058494151,0.058444156,0.94166 ,0.058394161,0.258671653,0.312635403,0.309600108,0.000110241,0.000123389,B,,,PWY.7196..superpathway.of.pyrimidine.ribonucleosides.salvage
Pathway210,9409,590,9412,593,9410.5,591.5,0.059294071,0.059144086,0.94096 ,0.058994101,0.259187196,0.312635403,0.309600108,8.29E-06,1.06E-05,B,,,PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle
Pathway469,9407,595,9407,595,9407,595,0.059494051,0.059494051,0.94061 ,0.059494051,0.259258627,0.312635403,0.309600108,9.78E-06,1.16E-05,B,,,PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III
Pathway157,9398,601,9401,604,9399.5,602.5,0.060393961,0.060243976,0.93986 ,0.060093991,0.259761121,0.314283135,0.310488182,6.81E-06,8.06E-06,B,,,PWY.4321..L.glutamate.degradation.IV
Pathway123,9391,611,9391,611,9391,611,0.061093891,0.061093891,0.93901 ,0.061093891,0.261970603,0.314868513,0.311869765,0.000110979,0.000122806,B,,,PENTOSE.P.PWY..pentose.phosphate.pathway
Pathway196,9367,631,9371,635,9369,633,0.063493651,0.063293671,0.93681 ,0.063093691,0.268398557,0.324119969,0.320051014,1.86E-06,3.97E-06,B,,,PWY.5198..factor.420.biosynthesis
Pathway225,9324,674,9328,678,9326,676,0.067793221,0.067593241,0.93251 ,0.067393261,0.282209279,0.342803456,0.338597916,3.23E-05,3.88E-05,B,,,PWY.5676..acetyl.CoA.fermentation.to.butanoate.II
Pathway19,9305,693,9309,697,9307,695,0.069693031,0.069493051,0.93061 ,0.069293071,0.286525194,0.345660847,0.342464836,5.25E-05,5.99E-05,B,,,BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I
Pathway476,9304,695,9307,698,9305.5,696.5,0.069793021,0.069643036,0.93046 ,0.069493051,0.286525194,0.345660847,0.342464836,2.11E-06,2.61E-06,B,,,PWY0.41..allantoin.degradation.IV..anaerobic.
Pathway229,9299,703,9299,703,9299,703,0.070292971,0.070292971,0.92981 ,0.070292971,0.287610934,0.345660847,0.342518475,2.12E-06,3.05E-06,B,,,PWY.5692..allantoin.degradation.to.glyoxylate.II
Pathway471,9290,711,9291,712,9290.5,711.5,0.071192881,0.071142886,0.92896 ,0.071092891,0.288680223,0.346903491,0.343536817,6.98E-06,6.55E-06,B,,,PWY0.1533..methylphosphonate.degradation.I
Pathway503,9275,726,9276,727,9275.5,726.5,0.072692731,0.072642736,0.92746 ,0.072592741,0.292554203,0.351020754,0.347647378,6.93E-05,7.75E-05,B,,,PWYG.321..mycolate.biosynthesis
Pathway101,9256,746,9256,746,9256,746,0.074592541,0.074592541,0.92551 ,0.074592541,0.297877459,0.356978588,0.353819485,2.33E-05,2.71E-05,B,,,P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.
Pathway44,9238,764,9238,764,9238,764,0.076392361,0.076392361,0.92371 ,0.076392361,0.297877459,0.362356685,0.356466679,4.52E-05,4.97E-05,B,,,FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage
Pathway126,9187,763,9239,815,9213,789,0.081491851,0.078892111,0.92121 ,0.076292371,0.297877459,0.362924337,0.356466679,2.16E-08,6.98E-08,B,,,PHOTOALL.PWY..oxygenic.photosynthesis
Pathway395,9187,763,9239,815,9213,789,0.081491851,0.078892111,0.92121 ,0.076292371,0.297877459,0.362924337,0.356466679,3.95E-08,1.26E-07,B,,,PWY.7218..photosynthetic.3.hydroxybutanoate.biosynthesis..engineered.
Pathway520,9198,803,9199,804,9198.5,803.5,0.080391961,0.080341966,0.91976 ,0.080291971,0.303826169,0.362924337,0.356466679,5.59E-05,6.50E-05,B,,,THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I
Pathway102,9191,811,9191,811,9191,811,0.081091891,0.081091891,0.91901 ,0.081091891,0.303826169,0.362924337,0.356466679,2.02E-05,2.74E-05,B,,,P108.PWY..pyruvate.fermentation.to.propanoate.I
