"rowname","MeanDecreaseGini","Rank","RepeatTimes","Fold","FatureCount"
"Streptococcus_gallolyticus",3.45097119554279,25,20,10,50
"Candidatus_Zinderia_insecticola",0.486762242387639,41,20,10,50
"Bilophila_wadsworthia",9.94006838168179,14,20,10,50
"Ruminococcus_torques",22.0659846182363,5,20,10,50
"Klebsiella_unclassified",7.09354398566405,19,20,10,50
"Fusobacterium_necrophorum",0.533437050095894,40,20,10,50
"Roseburia_intestinalis",11.6772750842373,12,20,10,50
"Slackia_exigua",0.162670087874691,47,20,10,50
"Prevotella_copri",9.70101284285378,16,20,10,50
"Eubacterium_limosum",3.77163901132773,23,20,10,50
"Filifactor_alocis",0.0199677311516817,50,20,10,50
"Clostridium_symbiosum",10.0799095859472,8,20,9,50
"Fusobacterium_nucleatum",9.95603315226149,9,20,9,50
"Gemella_morbillorum",10.3181247735162,6,20,9,50
"Parvimonas_micra",8.54015679903024,10,20,9,50
"Parvimonas_unclassified",11.4748248952435,2,20,9,50
"Peptostreptococcus_anaerobius",2.8767650244984,29,20,9,50
"Peptostreptococcus_stomatis",13.0313099973552,1,20,9,50
"Porphyromonas_asaccharolytica",11.2478446548711,3,20,9,50
"Porphyromonas_somerae",3.42831006005151,25,20,9,50
"Prevotella_intermedia",1.82261273094482,34,20,9,50
"Solobacterium_moorei",11.0054767584285,4,20,9,50
"Porphyromonas_uenonis",3.72933872351965,23,20,9,50
"Anaerococcus_vaginalis",2.0924737475485,32,20,9,50
"Clostridium_hathewayi",10.2807910877136,7,20,9,50
"Eubacterium_rectale",7.50520435046823,13,20,9,50
"Bacteroides_fragilis",7.45023198959006,14,20,9,50
"Streptococcus_constellatus",2.74397128908618,30,20,9,50
"Anaerococcus_obesiensis",1.22246174163906,40,20,9,50
"Clostridium_sp_ATCC_BAA_442",1.92176490495071,33,20,9,50
"Granulicatella_adiacens",5.46517317464355,19,20,9,50
"Campylobacter_ureolyticus",1.05311937446897,43,20,9,50
"Aggregatibacter_unclassified",1.05793946291385,42,20,9,50
"Fusobacterium_varium",1.10062613173582,41,20,9,50
"Porphyromonas_endodontalis",0.685095081823287,46,20,9,50
"Bilophila_unclassified",7.68525879025846,12,20,9,50
"Streptococcus_dysgalactiae",1.44979381683922,38,20,9,50
"Bifidobacterium_catenulatum",6.13087717278073,17,20,9,50
"Bacteroides_nordii",4.19559989125375,22,20,9,50
"Aeromonas_unclassified",0.86141225548148,45,20,9,50
"Actinomyces_cardiffensis",1.3095080308022,39,20,9,50
"Desulfovibrio_desulfuricans",4.87942220699017,20,20,9,50
"Slackia_unclassified",1.81126256716291,35,20,9,50
"Campylobacter_showae",0.489758074283229,47,20,9,50
"Selenomonas_sputigena",0.45457131996574,48,20,9,50
"Eikenella_corrodens",2.23941918625745,31,20,9,50
"Pseudomonas_unclassified",2.94880338166091,28,20,9,50
"Peptostreptococcus_unclassified",4.75500431413283,21,20,9,50
"Faecalibacterium_prausnitzii",7.96047190287789,11,20,9,50
"Prevotella_stercorea",3.27564143795375,27,20,9,50
"Streptococcus_gallolyticus",1.7245537318128,36,20,9,50
"Candidatus_Zinderia_insecticola",1.56359531906106,37,20,9,50
"Bilophila_wadsworthia",6.27593419449066,16,20,9,50
"Ruminococcus_torques",10.4671446676292,5,20,9,50
"Klebsiella_unclassified",3.51851228089273,24,20,9,50
"Fusobacterium_necrophorum",0.919147652281429,44,20,9,50
"Roseburia_intestinalis",7.20200232713129,15,20,9,50
"Slackia_exigua",0.436632201830227,49,20,9,50
"Prevotella_copri",5.63012959040383,18,20,9,50
"Eubacterium_limosum",3.42238044777232,26,20,9,50
"Filifactor_alocis",0.341286052503828,50,20,9,50
"Clostridium_symbiosum",9.82134786835507,8,20,8,50
"Fusobacterium_nucleatum",11.1415309514763,3,20,8,50
"Gemella_morbillorum",11.4130879360596,2,20,8,50
"Parvimonas_micra",8.37317796325846,10,20,8,50
"Parvimonas_unclassified",11.1160607855447,4,20,8,50
"Peptostreptococcus_anaerobius",3.17249710413347,28,20,8,50
"Peptostreptococcus_stomatis",14.6455529397703,1,20,8,50
"Porphyromonas_asaccharolytica",10.034498158525,7,20,8,50
"Porphyromonas_somerae",3.38444956228931,25,20,8,50
"Prevotella_intermedia",1.56149831306395,38,20,8,50
"Solobacterium_moorei",11.0237425900271,5,20,8,50
"Porphyromonas_uenonis",4.31336376310758,23,20,8,50
"Anaerococcus_vaginalis",2.52419250298461,30,20,8,50
"Clostridium_hathewayi",10.2789947728391,6,20,8,50
"Eubacterium_rectale",7.25007473821465,13,20,8,50
"Bacteroides_fragilis",7.74647389257348,11,20,8,50
"Streptococcus_constellatus",2.53852038757283,29,20,8,50
"Anaerococcus_obesiensis",1.77752905779825,35,20,8,50
"Clostridium_sp_ATCC_BAA_442",1.86062747773038,34,20,8,50
"Granulicatella_adiacens",4.89059569829275,21,20,8,50
"Campylobacter_ureolyticus",1.17664464758572,41,20,8,50
"Aggregatibacter_unclassified",0.833904536345943,44,20,8,50
"Fusobacterium_varium",0.952359856248368,43,20,8,50
"Porphyromonas_endodontalis",0.765599818532643,45,20,8,50
"Bilophila_unclassified",7.1469682622995,14,20,8,50
"Streptococcus_dysgalactiae",1.28036170925211,40,20,8,50
"Bifidobacterium_catenulatum",5.1390734908543,18,20,8,50
"Bacteroides_nordii",4.35588754458305,22,20,8,50
"Aeromonas_unclassified",1.01270759945385,42,20,8,50
"Actinomyces_cardiffensis",1.70796416919483,36,20,8,50
"Desulfovibrio_desulfuricans",5.25554114874846,17,20,8,50
"Slackia_unclassified",2.03087434351158,33,20,8,50
"Campylobacter_showae",0.539444861905995,47,20,8,50
"Selenomonas_sputigena",0.48953306846494,48,20,8,50
"Eikenella_corrodens",2.38425755922656,31,20,8,50
"Pseudomonas_unclassified",2.11392439300944,32,20,8,50
"Peptostreptococcus_unclassified",5.08250376668004,19,20,8,50
"Faecalibacterium_prausnitzii",7.01419733497399,15,20,8,50
"Prevotella_stercorea",3.27275991490376,27,20,8,50
"Streptococcus_gallolyticus",1.65194675298334,37,20,8,50
"Candidatus_Zinderia_insecticola",1.2899100725309,39,20,8,50
"Bilophila_wadsworthia",5.83548058510754,16,20,8,50
"Ruminococcus_torques",8.9707977228341,9,20,8,50
"Klebsiella_unclassified",3.4937810970518,24,20,8,50
"Fusobacterium_necrophorum",0.566081810619722,46,20,8,50
"Roseburia_intestinalis",7.66899813884708,12,20,8,50
"Slackia_exigua",0.342311862808628,49,20,8,50
"Prevotella_copri",4.99306647104535,20,20,8,50
"Eubacterium_limosum",3.34750170287201,26,20,8,50
"Filifactor_alocis",0.256457389511697,50,20,8,50
"Clostridium_symbiosum",9.56739900058286,9,20,7,50
"Fusobacterium_nucleatum",10.5498091614393,4,20,7,50
"Gemella_morbillorum",10.6865661040185,3,20,7,50
"Parvimonas_micra",8.17802324063921,10,20,7,50
"Parvimonas_unclassified",14.8880348453401,1,20,7,50
"Peptostreptococcus_anaerobius",2.61348660412235,29,20,7,50
"Peptostreptococcus_stomatis",13.6702225045752,2,20,7,50
"Porphyromonas_asaccharolytica",9.85590464341441,8,20,7,50
"Porphyromonas_somerae",3.43692754770346,24,20,7,50
"Prevotella_intermedia",2.24042655486309,32,20,7,50
"Solobacterium_moorei",10.2686817622867,6,20,7,50
"Porphyromonas_uenonis",3.13896234431496,25,20,7,50
"Anaerococcus_vaginalis",2.33630548296469,31,20,7,50
"Clostridium_hathewayi",10.4543979737535,5,20,7,50
"Eubacterium_rectale",6.98526581599298,15,20,7,50
"Bacteroides_fragilis",7.13992419390092,14,20,7,50
"Streptococcus_constellatus",2.98066467499507,28,20,7,50
"Anaerococcus_obesiensis",1.31778314589992,37,20,7,50
"Clostridium_sp_ATCC_BAA_442",1.56560906790395,36,20,7,50
"Granulicatella_adiacens",5.28722838207592,19,20,7,50
"Campylobacter_ureolyticus",0.798882020961552,44,20,7,50
"Aggregatibacter_unclassified",1.00301247585139,41,20,7,50
"Fusobacterium_varium",0.839676392353797,43,20,7,50
"Porphyromonas_endodontalis",0.408559102036646,48,20,7,50
"Bilophila_unclassified",7.24028324291832,13,20,7,50
"Streptococcus_dysgalactiae",1.13559242981524,39,20,7,50
"Bifidobacterium_catenulatum",5.57904837521105,18,20,7,50
"Bacteroides_nordii",4.95426643577217,21,20,7,50
"Aeromonas_unclassified",1.03109242900157,40,20,7,50
"Actinomyces_cardiffensis",0.964524213218319,42,20,7,50
"Desulfovibrio_desulfuricans",6.04309475819638,17,20,7,50
"Slackia_unclassified",1.7444340818527,34,20,7,50
"Campylobacter_showae",0.46878130283631,46,20,7,50
"Selenomonas_sputigena",0.463200187777836,47,20,7,50
"Eikenella_corrodens",1.95606435726392,33,20,7,50
"Pseudomonas_unclassified",2.50908718290571,30,20,7,50
"Peptostreptococcus_unclassified",4.66684230434278,22,20,7,50
"Faecalibacterium_prausnitzii",7.95549136842015,11,20,7,50
"Prevotella_stercorea",3.62339712382124,23,20,7,50
"Streptococcus_gallolyticus",1.72721059613263,35,20,7,50
"Candidatus_Zinderia_insecticola",1.30106709491805,38,20,7,50
"Bilophila_wadsworthia",6.11613994697696,16,20,7,50
"Ruminococcus_torques",10.0400664000399,7,20,7,50
"Klebsiella_unclassified",3.12334593281597,26,20,7,50
"Fusobacterium_necrophorum",0.764711587519736,45,20,7,50
"Roseburia_intestinalis",7.40642608972339,12,20,7,50
"Slackia_exigua",0.376079570135447,50,20,7,50
"Prevotella_copri",5.19454188611144,20,20,7,50
"Eubacterium_limosum",3.09433645350831,27,20,7,50
"Filifactor_alocis",0.381424605729446,49,20,7,50
"Clostridium_symbiosum",10.5564501958089,5,20,6,50
"Fusobacterium_nucleatum",11.759058803803,3,20,6,50
"Gemella_morbillorum",10.5503647487951,6,20,6,50
"Parvimonas_micra",8.63165252089045,9,20,6,50
"Parvimonas_unclassified",14.754100579269,1,20,6,50
"Peptostreptococcus_anaerobius",2.66872494006272,30,20,6,50
"Peptostreptococcus_stomatis",12.2325347109295,2,20,6,50
"Porphyromonas_asaccharolytica",10.1768345627655,7,20,6,50
"Porphyromonas_somerae",3.02876213580525,27,20,6,50
"Prevotella_intermedia",1.70026041228451,35,20,6,50
"Solobacterium_moorei",10.6471388926557,4,20,6,50
"Porphyromonas_uenonis",3.59905706446045,24,20,6,50
"Anaerococcus_vaginalis",2.81038281229759,29,20,6,50
"Clostridium_hathewayi",9.96908720378169,8,20,6,50
"Eubacterium_rectale",7.14909975679721,14,20,6,50
"Bacteroides_fragilis",7.5428614259527,12,20,6,50
"Streptococcus_constellatus",3.24475953468982,26,20,6,50
"Anaerococcus_obesiensis",1.16925343688429,40,20,6,50
"Clostridium_sp_ATCC_BAA_442",1.74504178925747,34,20,6,50
"Granulicatella_adiacens",4.8311424222693,19,20,6,50
"Campylobacter_ureolyticus",1.34880525007453,37,20,6,50
"Aggregatibacter_unclassified",0.986544767549816,42,20,6,50
"Fusobacterium_varium",1.20339628827998,38,20,6,50
"Porphyromonas_endodontalis",0.478447051904651,49,20,6,50
"Bilophila_unclassified",7.89518941912091,11,20,6,50
"Streptococcus_dysgalactiae",0.798825448337971,43,20,6,50
"Bifidobacterium_catenulatum",5.09849307863151,18,20,6,50
"Bacteroides_nordii",4.56189633689404,21,20,6,50
"Aeromonas_unclassified",0.774451885801409,44,20,6,50
"Actinomyces_cardiffensis",1.18966556359353,39,20,6,50
"Desulfovibrio_desulfuricans",5.440114883548,17,20,6,50
"Slackia_unclassified",2.00875850763372,33,20,6,50
"Campylobacter_showae",0.590243484077212,45,20,6,50
"Selenomonas_sputigena",0.493604013927386,47,20,6,50
"Eikenella_corrodens",2.14006994657071,32,20,6,50
"Pseudomonas_unclassified",2.19910813610012,31,20,6,50
"Peptostreptococcus_unclassified",4.41177453657418,22,20,6,50
"Faecalibacterium_prausnitzii",7.47025846712599,13,20,6,50
"Prevotella_stercorea",3.69066262625428,23,20,6,50
"Streptococcus_gallolyticus",1.64456259541146,36,20,6,50
"Candidatus_Zinderia_insecticola",1.02553529606324,41,20,6,50
"Bilophila_wadsworthia",6.06080433632468,16,20,6,50
"Ruminococcus_torques",8.46817061382479,10,20,6,50
"Klebsiella_unclassified",2.98166204811099,28,20,6,50
"Fusobacterium_necrophorum",0.574942677374368,46,20,6,50
"Roseburia_intestinalis",6.94382336506639,15,20,6,50
"Slackia_exigua",0.492998453852744,48,20,6,50
"Prevotella_copri",4.76947395559213,20,20,6,50
"Eubacterium_limosum",3.31649382572942,25,20,6,50
"Filifactor_alocis",0.327332646010173,50,20,6,50
"Clostridium_symbiosum",10.0324233637751,9,20,5,50
"Fusobacterium_nucleatum",10.6543606369333,3,20,5,50
"Gemella_morbillorum",10.4795908687318,4,20,5,50
"Parvimonas_micra",8.05136915009614,10,20,5,50
"Parvimonas_unclassified",13.0957700572487,2,20,5,50
"Peptostreptococcus_anaerobius",2.36451860881199,29,20,5,50
"Peptostreptococcus_stomatis",14.2219782819019,1,20,5,50
"Porphyromonas_asaccharolytica",10.2519371896647,5,20,5,50
"Porphyromonas_somerae",3.53956816422905,25,20,5,50
"Prevotella_intermedia",2.02217559047315,33,20,5,50
"Solobacterium_moorei",10.2162978877274,6,20,5,50
"Porphyromonas_uenonis",3.82848395721369,23,20,5,50
"Anaerococcus_vaginalis",2.21297844262638,32,20,5,50
"Clostridium_hathewayi",10.1091342863194,8,20,5,50
"Eubacterium_rectale",7.17769383906332,15,20,5,50
"Bacteroides_fragilis",7.66647081031954,11,20,5,50
"Streptococcus_constellatus",2.97964410157232,28,20,5,50
"Anaerococcus_obesiensis",1.41003364770543,36,20,5,50
"Clostridium_sp_ATCC_BAA_442",1.34037550536955,37,20,5,50
"Granulicatella_adiacens",4.90904088629848,20,20,5,50
"Campylobacter_ureolyticus",1.0647347514369,41,20,5,50
"Aggregatibacter_unclassified",0.793191442961615,45,20,5,50
"Fusobacterium_varium",1.04820421938391,42,20,5,50
"Porphyromonas_endodontalis",0.690301677701254,46,20,5,50
"Bilophila_unclassified",7.46459302456105,14,20,5,50
"Streptococcus_dysgalactiae",1.30562293885705,39,20,5,50
"Bifidobacterium_catenulatum",5.54348421726021,17,20,5,50
"Bacteroides_nordii",4.19872704453021,22,20,5,50
"Aeromonas_unclassified",0.84637073310998,44,20,5,50
"Actinomyces_cardiffensis",1.32523884935428,38,20,5,50
"Desulfovibrio_desulfuricans",5.46020908491725,18,20,5,50
"Slackia_unclassified",1.9549308081604,34,20,5,50
"Campylobacter_showae",0.507473714718877,47,20,5,50
"Selenomonas_sputigena",0.476486985450187,48,20,5,50
"Eikenella_corrodens",2.34227051316325,30,20,5,50
"Pseudomonas_unclassified",2.3309313989942,31,20,5,50
"Peptostreptococcus_unclassified",4.90061571115138,21,20,5,50
"Faecalibacterium_prausnitzii",7.56909148225726,13,20,5,50
"Prevotella_stercorea",3.39105037143453,26,20,5,50
"Streptococcus_gallolyticus",1.8576708567325,35,20,5,50
"Candidatus_Zinderia_insecticola",1.22195327518438,40,20,5,50
"Bilophila_wadsworthia",6.35277670284967,16,20,5,50
"Ruminococcus_torques",10.1148003753809,7,20,5,50
"Klebsiella_unclassified",3.66576183775015,24,20,5,50
"Fusobacterium_necrophorum",0.899362047803914,43,20,5,50
"Roseburia_intestinalis",7.66466698693619,12,20,5,50
"Slackia_exigua",0.443072269822622,49,20,5,50
"Prevotella_copri",5.15871425603594,19,20,5,50
"Eubacterium_limosum",3.1461856041815,27,20,5,50
"Filifactor_alocis",0.359935781415128,50,20,5,50
"Clostridium_symbiosum",9.78715077718657,8,20,4,50
"Fusobacterium_nucleatum",12.0502065845607,2,20,4,50
"Gemella_morbillorum",10.2236719151388,4,20,4,50
"Parvimonas_micra",10.0210164052002,6,20,4,50
"Parvimonas_unclassified",14.8480577220048,1,20,4,50
"Peptostreptococcus_anaerobius",2.44593161428011,31,20,4,50
"Peptostreptococcus_stomatis",11.7574327353216,3,20,4,50
"Porphyromonas_asaccharolytica",10.0194773382561,7,20,4,50
"Porphyromonas_somerae",3.3153348976273,24,20,4,50
"Prevotella_intermedia",1.37617017170085,37,20,4,50
"Solobacterium_moorei",9.63177439924436,9,20,4,50
"Porphyromonas_uenonis",3.31131260316453,25,20,4,50
"Anaerococcus_vaginalis",2.88590173737045,29,20,4,50
"Clostridium_hathewayi",10.1899200922238,5,20,4,50
"Eubacterium_rectale",7.29563190402632,12,20,4,50
"Bacteroides_fragilis",7.261922682763,13,20,4,50
"Streptococcus_constellatus",3.24647424182405,26,20,4,50
"Anaerococcus_obesiensis",1.53660089894185,36,20,4,50
"Clostridium_sp_ATCC_BAA_442",1.81175790411101,34,20,4,50
"Granulicatella_adiacens",5.41828684619577,17,20,4,50
"Campylobacter_ureolyticus",1.02001903296199,42,20,4,50
"Aggregatibacter_unclassified",1.10882519969167,40,20,4,50
"Fusobacterium_varium",1.09410818495181,41,20,4,50
"Porphyromonas_endodontalis",0.621401892123129,45,20,4,50
"Bilophila_unclassified",7.30304764356531,11,20,4,50
"Streptococcus_dysgalactiae",0.735836243189264,44,20,4,50
"Bifidobacterium_catenulatum",5.15186913643501,20,20,4,50
"Bacteroides_nordii",5.17107287950407,19,20,4,50
"Aeromonas_unclassified",0.801117484883167,43,20,4,50
"Actinomyces_cardiffensis",1.32081811379123,38,20,4,50
"Desulfovibrio_desulfuricans",5.3305091111439,18,20,4,50
"Slackia_unclassified",1.68557894284556,35,20,4,50
"Campylobacter_showae",0.443592214405973,48,20,4,50
"Selenomonas_sputigena",0.445402687517044,47,20,4,50
"Eikenella_corrodens",2.54309785177318,30,20,4,50
"Pseudomonas_unclassified",2.36378762946491,32,20,4,50
"Peptostreptococcus_unclassified",4.6723534386208,21,20,4,50
"Faecalibacterium_prausnitzii",7.0978991894336,14,20,4,50
"Prevotella_stercorea",3.15691754161449,28,20,4,50
"Streptococcus_gallolyticus",1.94854581003831,33,20,4,50
"Candidatus_Zinderia_insecticola",1.20870041470408,39,20,4,50
"Bilophila_wadsworthia",5.64524294466127,16,20,4,50
"Ruminococcus_torques",9.45516893095908,10,20,4,50
"Klebsiella_unclassified",3.17951514819653,27,20,4,50
"Fusobacterium_necrophorum",0.605426503869223,46,20,4,50
"Roseburia_intestinalis",6.53083291770734,15,20,4,50
"Slackia_exigua",0.440999110233347,49,20,4,50
"Prevotella_copri",4.66673559237683,22,20,4,50
"Eubacterium_limosum",3.36138556372072,23,20,4,50
"Filifactor_alocis",0.201610857911709,50,20,4,50
"Clostridium_symbiosum",9.80230927595194,8,20,3,50
"Fusobacterium_nucleatum",10.2824805893988,6,20,3,50
"Gemella_morbillorum",11.0842307782025,4,20,3,50
"Parvimonas_micra",9.35732567590369,10,20,3,50
"Parvimonas_unclassified",12.0092441709312,2,20,3,50
"Peptostreptococcus_anaerobius",2.41060699587964,30,20,3,50
"Peptostreptococcus_stomatis",13.1627447171056,1,20,3,50
"Porphyromonas_asaccharolytica",10.568178468503,5,20,3,50
"Porphyromonas_somerae",2.94736521946063,28,20,3,50
"Prevotella_intermedia",2.01562197829202,33,20,3,50
"Solobacterium_moorei",11.4324099259101,3,20,3,50
"Porphyromonas_uenonis",3.66098887440019,23,20,3,50
"Anaerococcus_vaginalis",2.20054430227153,32,20,3,50
"Clostridium_hathewayi",9.45365822362024,9,20,3,50
"Eubacterium_rectale",6.84016844079165,13,20,3,50
"Bacteroides_fragilis",6.5139749241993,15,20,3,50
"Streptococcus_constellatus",3.2896584686911,25,20,3,50
"Anaerococcus_obesiensis",1.23491359724783,37,20,3,50
"Clostridium_sp_ATCC_BAA_442",1.3768101897194,36,20,3,50
"Granulicatella_adiacens",5.19312255941686,20,20,3,50
"Campylobacter_ureolyticus",0.893328596755665,42,20,3,50
"Aggregatibacter_unclassified",0.816099182733353,43,20,3,50
"Fusobacterium_varium",1.06697836373341,39,20,3,50
"Porphyromonas_endodontalis",0.783484648303895,44,20,3,50
"Bilophila_unclassified",8.51087019249533,11,20,3,50
"Streptococcus_dysgalactiae",1.0404096694323,40,20,3,50
"Bifidobacterium_catenulatum",5.37407451450474,19,20,3,50
"Bacteroides_nordii",4.73881264147824,22,20,3,50
"Aeromonas_unclassified",0.781660015449405,45,20,3,50
"Actinomyces_cardiffensis",1.02038652786787,41,20,3,50
"Desulfovibrio_desulfuricans",5.64920719947311,17,20,3,50
"Slackia_unclassified",1.90094013606123,34,20,3,50
"Campylobacter_showae",0.491102232776746,47,20,3,50
"Selenomonas_sputigena",0.348647354609374,49,20,3,50
"Eikenella_corrodens",2.26910181664661,31,20,3,50
"Pseudomonas_unclassified",2.66241951724492,29,20,3,50
"Peptostreptococcus_unclassified",5.5021832781434,18,20,3,50
"Faecalibacterium_prausnitzii",8.23465434655768,12,20,3,50
"Prevotella_stercorea",3.36191526939637,24,20,3,50
"Streptococcus_gallolyticus",1.72527877494444,35,20,3,50
"Candidatus_Zinderia_insecticola",1.1922618613096,38,20,3,50
"Bilophila_wadsworthia",5.82265344135044,16,20,3,50
"Ruminococcus_torques",10.2178209158421,7,20,3,50
"Klebsiella_unclassified",3.18293112649533,27,20,3,50
"Fusobacterium_necrophorum",0.615696534714909,46,20,3,50
"Roseburia_intestinalis",6.72168799378232,14,20,3,50
"Slackia_exigua",0.350890973482195,48,20,3,50
"Prevotella_copri",5.09173586729058,21,20,3,50
"Eubacterium_limosum",3.22084134863562,26,20,3,50
"Filifactor_alocis",0.328331199662834,50,20,3,50
"Clostridium_symbiosum",19.244242797499,6,20,2,50
"Fusobacterium_nucleatum",23.9750097227046,3,20,2,50
"Gemella_morbillorum",13.2129776193586,12,20,2,50
"Parvimonas_micra",4.0277726049386,24,20,2,50
"Parvimonas_unclassified",33.1962207994273,1,20,2,50
"Peptostreptococcus_anaerobius",0.847412820914122,34,20,2,50
"Peptostreptococcus_stomatis",24.736715542149,2,20,2,50
"Porphyromonas_asaccharolytica",23.1007890374657,4,20,2,50
"Porphyromonas_somerae",1.62495397398624,30,20,2,50
"Prevotella_intermedia",0.211143069666741,45,20,2,50
"Solobacterium_moorei",9.15220748234361,16,20,2,50
"Porphyromonas_uenonis",0.907689216841177,32,20,2,50
"Anaerococcus_vaginalis",0.701538246767962,36,20,2,50
"Clostridium_hathewayi",18.1713390189328,7,20,2,50
"Eubacterium_rectale",14.6754930417535,9,20,2,50
"Bacteroides_fragilis",13.3745027049327,10,20,2,50
"Streptococcus_constellatus",2.04069790781156,28,20,2,50
"Anaerococcus_obesiensis",0.589257729330562,37,20,2,50
"Clostridium_sp_ATCC_BAA_442",0.841990046651586,35,20,2,50
"Granulicatella_adiacens",6.89460073375125,19,20,2,50
"Campylobacter_ureolyticus",0.366742810107449,44,20,2,50
"Aggregatibacter_unclassified",0.414515652513532,41,20,2,50
"Fusobacterium_varium",0.439761343382638,40,20,2,50
"Porphyromonas_endodontalis",0.0760031819301224,48,20,2,50
"Bilophila_unclassified",13.2752432940021,11,20,2,50
"Streptococcus_dysgalactiae",1.86510318961009,29,20,2,50
"Bifidobacterium_catenulatum",7.0762390586982,18,20,2,50
"Bacteroides_nordii",6.2980206348853,21,20,2,50
"Aeromonas_unclassified",1.10915290983617,31,20,2,50
"Actinomyces_cardiffensis",0.58762932148926,38,20,2,50
"Desulfovibrio_desulfuricans",7.11291895312537,17,20,2,50
"Slackia_unclassified",0.887608924967096,33,20,2,50
"Campylobacter_showae",0.392531729218126,43,20,2,50
"Selenomonas_sputigena",0.0674724326842546,49,20,2,50
"Eikenella_corrodens",0.402323368491836,42,20,2,50
"Pseudomonas_unclassified",2.79004695045301,27,20,2,50
"Peptostreptococcus_unclassified",4.39916285900982,22,20,2,50
"Faecalibacterium_prausnitzii",15.143824822185,8,20,2,50
"Prevotella_stercorea",4.15181128355679,23,20,2,50
"Streptococcus_gallolyticus",3.04677505877495,26,20,2,50
"Candidatus_Zinderia_insecticola",0.520123787187336,39,20,2,50
"Bilophila_wadsworthia",10.0256199209754,15,20,2,50
"Ruminococcus_torques",22.0119151760104,5,20,2,50
"Klebsiella_unclassified",6.57108364448193,20,20,2,50
"Fusobacterium_necrophorum",0.125359203135726,47,20,2,50
"Roseburia_intestinalis",11.5650118009547,13,20,2,50
"Slackia_exigua",0.172881848934651,46,20,2,50
"Prevotella_copri",10.757718571423,14,20,2,50
"Eubacterium_limosum",3.26115172602745,25,20,2,50
"Filifactor_alocis",0.0182313296227582,50,20,2,50
"Clostridium_symbiosum",19.2947283482845,5,20,1,50
"Fusobacterium_nucleatum",21.2856529030503,4,20,1,50
"Gemella_morbillorum",18.9760271015151,6,20,1,50
"Parvimonas_micra",3.26344175863954,25,20,1,50
"Parvimonas_unclassified",26.7827752175352,2,20,1,50
"Peptostreptococcus_anaerobius",1.20169946486719,31,20,1,50
"Peptostreptococcus_stomatis",31.2786315894329,1,20,1,50
"Porphyromonas_asaccharolytica",18.8952837685749,7,20,1,50
"Porphyromonas_somerae",2.02696721190488,28,20,1,50
"Prevotella_intermedia",0.162743950349445,46,20,1,50
"Solobacterium_moorei",9.62982170730788,16,20,1,50
"Porphyromonas_uenonis",0.906738261820205,35,20,1,50
"Anaerococcus_vaginalis",1.19915417645917,32,20,1,50
"Clostridium_hathewayi",13.806763192108,9,20,1,50
"Eubacterium_rectale",12.5588046179336,12,20,1,50
"Bacteroides_fragilis",12.707157619332,11,20,1,50
"Streptococcus_constellatus",1.99049719615359,29,20,1,50
"Anaerococcus_obesiensis",0.545623102637963,41,20,1,50
