"rowname","MeanDecreaseGini","Rank","StudyModel","BaseModel"
"Clostridium_clostridioforme",2.69832452744359,10,"YuJ_2015","PRJEB27928"
"Parvimonas_unclassified",4.49694067874219,3,"YuJ_2015","PRJEB27928"
"Anaerotruncus_unclassified",7.35961672460337,1,"YuJ_2015","PRJEB27928"
"Parvimonas_micra",1.54925578985851,14,"YuJ_2015","PRJEB27928"
"Solobacterium_moorei",6.08064190250851,2,"YuJ_2015","PRJEB27928"
"Peptostreptococcus_stomatis",2.10172773677859,12,"YuJ_2015","PRJEB27928"
"Gemella_morbillorum",2.13272632790337,11,"YuJ_2015","PRJEB27928"
"Ruminococcus_albus",3.20908045286918,7,"YuJ_2015","PRJEB27928"
"Clostridium_symbiosum",2.97017743808928,9,"YuJ_2015","PRJEB27928"
"Porphyromonas_asaccharolytica",1.50008851892063,15,"YuJ_2015","PRJEB27928"
"Ruminococcus_torques",3.37960107454838,6,"YuJ_2015","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",3.53337959538436,5,"YuJ_2015","PRJEB27928"
"Fusobacterium_nucleatum",1.8373255234784,13,"YuJ_2015","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.28618745871693,16,"YuJ_2015","PRJEB27928"
"Clostridium_hathewayi",3.7961511849838,4,"YuJ_2015","PRJEB27928"
"Rothia_dentocariosa",1.00073794684921,17,"YuJ_2015","PRJEB27928"
"Subdoligranulum_variabile",3.02390678906024,8,"YuJ_2015","PRJEB27928"
"Butyrivibrio_unclassified",0.91590840420276,18,"YuJ_2015","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.893692380294449,19,"YuJ_2015","PRJEB27928"
"Deinococcus_unclassified",0.610644052625685,20,"YuJ_2015","PRJEB27928"
"Clostridium_clostridioforme",2.69832452744359,10,"VogtmannE_2016","PRJEB27928"
"Parvimonas_unclassified",4.49694067874219,3,"VogtmannE_2016","PRJEB27928"
"Anaerotruncus_unclassified",7.35961672460337,1,"VogtmannE_2016","PRJEB27928"
"Parvimonas_micra",1.54925578985851,14,"VogtmannE_2016","PRJEB27928"
"Solobacterium_moorei",6.08064190250851,2,"VogtmannE_2016","PRJEB27928"
"Peptostreptococcus_stomatis",2.10172773677859,12,"VogtmannE_2016","PRJEB27928"
"Gemella_morbillorum",2.13272632790337,11,"VogtmannE_2016","PRJEB27928"
"Ruminococcus_albus",3.20908045286918,7,"VogtmannE_2016","PRJEB27928"
"Clostridium_symbiosum",2.97017743808928,9,"VogtmannE_2016","PRJEB27928"
"Porphyromonas_asaccharolytica",1.50008851892063,15,"VogtmannE_2016","PRJEB27928"
"Ruminococcus_torques",3.37960107454838,6,"VogtmannE_2016","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",3.53337959538436,5,"VogtmannE_2016","PRJEB27928"
"Fusobacterium_nucleatum",1.8373255234784,13,"VogtmannE_2016","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.28618745871693,16,"VogtmannE_2016","PRJEB27928"
"Clostridium_hathewayi",3.7961511849838,4,"VogtmannE_2016","PRJEB27928"
"Rothia_dentocariosa",1.00073794684921,17,"VogtmannE_2016","PRJEB27928"
"Subdoligranulum_variabile",3.02390678906024,8,"VogtmannE_2016","PRJEB27928"
"Butyrivibrio_unclassified",0.91590840420276,18,"VogtmannE_2016","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.893692380294449,19,"VogtmannE_2016","PRJEB27928"
"Deinococcus_unclassified",0.610644052625685,20,"VogtmannE_2016","PRJEB27928"
"Clostridium_clostridioforme",2.69832452744359,10,"ThomasAM_2018b","PRJEB27928"
"Parvimonas_unclassified",4.49694067874219,3,"ThomasAM_2018b","PRJEB27928"
"Anaerotruncus_unclassified",7.35961672460337,1,"ThomasAM_2018b","PRJEB27928"
"Parvimonas_micra",1.54925578985851,14,"ThomasAM_2018b","PRJEB27928"
"Solobacterium_moorei",6.08064190250851,2,"ThomasAM_2018b","PRJEB27928"
"Peptostreptococcus_stomatis",2.10172773677859,12,"ThomasAM_2018b","PRJEB27928"
"Gemella_morbillorum",2.13272632790337,11,"ThomasAM_2018b","PRJEB27928"
"Ruminococcus_albus",3.20908045286918,7,"ThomasAM_2018b","PRJEB27928"
"Clostridium_symbiosum",2.97017743808928,9,"ThomasAM_2018b","PRJEB27928"
"Porphyromonas_asaccharolytica",1.50008851892063,15,"ThomasAM_2018b","PRJEB27928"
"Ruminococcus_torques",3.37960107454838,6,"ThomasAM_2018b","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",3.53337959538436,5,"ThomasAM_2018b","PRJEB27928"
"Fusobacterium_nucleatum",1.8373255234784,13,"ThomasAM_2018b","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.28618745871693,16,"ThomasAM_2018b","PRJEB27928"
"Clostridium_hathewayi",3.7961511849838,4,"ThomasAM_2018b","PRJEB27928"
"Rothia_dentocariosa",1.00073794684921,17,"ThomasAM_2018b","PRJEB27928"
"Subdoligranulum_variabile",3.02390678906024,8,"ThomasAM_2018b","PRJEB27928"
"Butyrivibrio_unclassified",0.91590840420276,18,"ThomasAM_2018b","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.893692380294449,19,"ThomasAM_2018b","PRJEB27928"
"Deinococcus_unclassified",0.610644052625685,20,"ThomasAM_2018b","PRJEB27928"
"Clostridium_clostridioforme",2.69832452744359,10,"ThomasAM_2018a","PRJEB27928"
"Parvimonas_unclassified",4.49694067874219,3,"ThomasAM_2018a","PRJEB27928"
"Anaerotruncus_unclassified",7.35961672460337,1,"ThomasAM_2018a","PRJEB27928"
"Parvimonas_micra",1.54925578985851,14,"ThomasAM_2018a","PRJEB27928"
"Solobacterium_moorei",6.08064190250851,2,"ThomasAM_2018a","PRJEB27928"
"Peptostreptococcus_stomatis",2.10172773677859,12,"ThomasAM_2018a","PRJEB27928"
"Gemella_morbillorum",2.13272632790337,11,"ThomasAM_2018a","PRJEB27928"
"Ruminococcus_albus",3.20908045286918,7,"ThomasAM_2018a","PRJEB27928"
"Clostridium_symbiosum",2.97017743808928,9,"ThomasAM_2018a","PRJEB27928"
"Porphyromonas_asaccharolytica",1.50008851892063,15,"ThomasAM_2018a","PRJEB27928"
"Ruminococcus_torques",3.37960107454838,6,"ThomasAM_2018a","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",3.53337959538436,5,"ThomasAM_2018a","PRJEB27928"
"Fusobacterium_nucleatum",1.8373255234784,13,"ThomasAM_2018a","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.28618745871693,16,"ThomasAM_2018a","PRJEB27928"
"Clostridium_hathewayi",3.7961511849838,4,"ThomasAM_2018a","PRJEB27928"
"Rothia_dentocariosa",1.00073794684921,17,"ThomasAM_2018a","PRJEB27928"
"Subdoligranulum_variabile",3.02390678906024,8,"ThomasAM_2018a","PRJEB27928"
"Butyrivibrio_unclassified",0.91590840420276,18,"ThomasAM_2018a","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.893692380294449,19,"ThomasAM_2018a","PRJEB27928"
"Deinococcus_unclassified",0.610644052625685,20,"ThomasAM_2018a","PRJEB27928"
"Clostridium_clostridioforme",2.69832452744359,10,"FengQ_2015","PRJEB27928"
"Parvimonas_unclassified",4.49694067874219,3,"FengQ_2015","PRJEB27928"
"Anaerotruncus_unclassified",7.35961672460337,1,"FengQ_2015","PRJEB27928"
"Parvimonas_micra",1.54925578985851,14,"FengQ_2015","PRJEB27928"
"Solobacterium_moorei",6.08064190250851,2,"FengQ_2015","PRJEB27928"
"Peptostreptococcus_stomatis",2.10172773677859,12,"FengQ_2015","PRJEB27928"
"Gemella_morbillorum",2.13272632790337,11,"FengQ_2015","PRJEB27928"
"Ruminococcus_albus",3.20908045286918,7,"FengQ_2015","PRJEB27928"
"Clostridium_symbiosum",2.97017743808928,9,"FengQ_2015","PRJEB27928"
"Porphyromonas_asaccharolytica",1.50008851892063,15,"FengQ_2015","PRJEB27928"
"Ruminococcus_torques",3.37960107454838,6,"FengQ_2015","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",3.53337959538436,5,"FengQ_2015","PRJEB27928"
"Fusobacterium_nucleatum",1.8373255234784,13,"FengQ_2015","PRJEB27928"
"Clostridiaceae_bacterium_JC118",1.28618745871693,16,"FengQ_2015","PRJEB27928"
"Clostridium_hathewayi",3.7961511849838,4,"FengQ_2015","PRJEB27928"
"Rothia_dentocariosa",1.00073794684921,17,"FengQ_2015","PRJEB27928"
"Subdoligranulum_variabile",3.02390678906024,8,"FengQ_2015","PRJEB27928"
"Butyrivibrio_unclassified",0.91590840420276,18,"FengQ_2015","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",0.893692380294449,19,"FengQ_2015","PRJEB27928"
"Deinococcus_unclassified",0.610644052625685,20,"FengQ_2015","PRJEB27928"
"Clostridium_clostridioforme",1.20504412082764,12,"PRJEB27928","PRJEB27928"
"Parvimonas_unclassified",1.72894883475092,7,"PRJEB27928","PRJEB27928"
"Anaerotruncus_unclassified",3.09828908908019,2,"PRJEB27928","PRJEB27928"
"Parvimonas_micra",1.04390478854505,13,"PRJEB27928","PRJEB27928"
"Solobacterium_moorei",2.72302604332553,3,"PRJEB27928","PRJEB27928"
"Peptostreptococcus_stomatis",1.66468586669384,8,"PRJEB27928","PRJEB27928"
"Gemella_morbillorum",0.946768389340573,15,"PRJEB27928","PRJEB27928"
"Ruminococcus_albus",2.46186187289407,4,"PRJEB27928","PRJEB27928"
"Clostridium_symbiosum",2.02089473489367,5,"PRJEB27928","PRJEB27928"
"Porphyromonas_asaccharolytica",1.04186008199666,14,"PRJEB27928","PRJEB27928"
"Ruminococcus_torques",1.79102466688788,6,"PRJEB27928","PRJEB27928"
"Clostridiales_bacterium_1_7_47FAA",1.54622811093981,10,"PRJEB27928","PRJEB27928"
"Fusobacterium_nucleatum",0.945722360973758,16,"PRJEB27928","PRJEB27928"
"Clostridiaceae_bacterium_JC118",0.555957169394264,19,"PRJEB27928","PRJEB27928"
"Clostridium_hathewayi",3.2958922860462,1,"PRJEB27928","PRJEB27928"
"Rothia_dentocariosa",0.630265834396634,18,"PRJEB27928","PRJEB27928"
"Subdoligranulum_variabile",1.6554469094869,9,"PRJEB27928","PRJEB27928"
"Butyrivibrio_unclassified",0.735559275849982,17,"PRJEB27928","PRJEB27928"
"Subdoligranulum_sp_4_3_54A2FAA",1.3185270863035,11,"PRJEB27928","PRJEB27928"
"Deinococcus_unclassified",0.194772574888647,20,"PRJEB27928","PRJEB27928"
"Parvimonas_unclassified",3.15426762273351,1,"PRJEB27928","PRJDB4176"
"Peptostreptococcus_stomatis",2.83286355418807,4,"PRJEB27928","PRJDB4176"
"Anaerotruncus_colihominis",2.59029366874993,6,"PRJEB27928","PRJDB4176"
"Parvimonas_micra",1.4337364971027,14,"PRJEB27928","PRJDB4176"
"Gemella_morbillorum",2.80111615789028,5,"PRJEB27928","PRJDB4176"
"Solobacterium_moorei",2.09443784627003,8,"PRJEB27928","PRJDB4176"
"Odoribacter_splanchnicus",1.75543180194361,11,"PRJEB27928","PRJDB4176"
"Alistipes_indistinctus",1.1383795410253,15,"PRJEB27928","PRJDB4176"
"Clostridium_innocuum",0.747067748993999,17,"PRJEB27928","PRJDB4176"
"Lachnospiraceae_bacterium_3_1_46FAA",2.18840825051923,7,"PRJEB27928","PRJDB4176"
"Bacteroides_caccae",2.00197709313234,9,"PRJEB27928","PRJDB4176"
"Ruminococcus_torques",3.05055859607336,2,"PRJEB27928","PRJDB4176"
"Aggregatibacter_unclassified",0.36602039763364,20,"PRJEB27928","PRJDB4176"
"Clostridium_symbiosum",1.54386249205807,13,"PRJEB27928","PRJDB4176"
"Alloprevotella_tannerae",0.384767039134362,19,"PRJEB27928","PRJDB4176"
"Megamonas_rupellensis",0.911226087110796,16,"PRJEB27928","PRJDB4176"
"Erysipelotrichaceae_bacterium_6_1_45",0.72887102155176,18,"PRJEB27928","PRJDB4176"
"Alistipes_shahii",2.83372094702759,3,"PRJEB27928","PRJDB4176"
"Holdemania_filiformis",1.92450280212992,10,"PRJEB27928","PRJDB4176"
"Eubacterium_eligens",1.72569302202753,12,"PRJEB27928","PRJDB4176"
"Parvimonas_unclassified",3.15426762273351,1,"ZellerG_2014","PRJDB4176"
"Peptostreptococcus_stomatis",2.83286355418807,4,"ZellerG_2014","PRJDB4176"
"Anaerotruncus_colihominis",2.59029366874993,6,"ZellerG_2014","PRJDB4176"
"Parvimonas_micra",1.4337364971027,14,"ZellerG_2014","PRJDB4176"
"Gemella_morbillorum",2.80111615789028,5,"ZellerG_2014","PRJDB4176"
"Solobacterium_moorei",2.09443784627003,8,"ZellerG_2014","PRJDB4176"
"Odoribacter_splanchnicus",1.75543180194361,11,"ZellerG_2014","PRJDB4176"
"Alistipes_indistinctus",1.1383795410253,15,"ZellerG_2014","PRJDB4176"
"Clostridium_innocuum",0.747067748993999,17,"ZellerG_2014","PRJDB4176"
"Lachnospiraceae_bacterium_3_1_46FAA",2.18840825051923,7,"ZellerG_2014","PRJDB4176"
"Bacteroides_caccae",2.00197709313234,9,"ZellerG_2014","PRJDB4176"
"Ruminococcus_torques",3.05055859607336,2,"ZellerG_2014","PRJDB4176"
"Aggregatibacter_unclassified",0.36602039763364,20,"ZellerG_2014","PRJDB4176"
"Clostridium_symbiosum",1.54386249205807,13,"ZellerG_2014","PRJDB4176"
"Alloprevotella_tannerae",0.384767039134362,19,"ZellerG_2014","PRJDB4176"
"Megamonas_rupellensis",0.911226087110796,16,"ZellerG_2014","PRJDB4176"
"Erysipelotrichaceae_bacterium_6_1_45",0.72887102155176,18,"ZellerG_2014","PRJDB4176"
"Alistipes_shahii",2.83372094702759,3,"ZellerG_2014","PRJDB4176"
"Holdemania_filiformis",1.92450280212992,10,"ZellerG_2014","PRJDB4176"
"Eubacterium_eligens",1.72569302202753,12,"ZellerG_2014","PRJDB4176"
"Parvimonas_unclassified",3.15426762273351,1,"YuJ_2015","PRJDB4176"
"Peptostreptococcus_stomatis",2.83286355418807,4,"YuJ_2015","PRJDB4176"
"Anaerotruncus_colihominis",2.59029366874993,6,"YuJ_2015","PRJDB4176"
"Parvimonas_micra",1.4337364971027,14,"YuJ_2015","PRJDB4176"
"Gemella_morbillorum",2.80111615789028,5,"YuJ_2015","PRJDB4176"
"Solobacterium_moorei",2.09443784627003,8,"YuJ_2015","PRJDB4176"
"Odoribacter_splanchnicus",1.75543180194361,11,"YuJ_2015","PRJDB4176"
"Alistipes_indistinctus",1.1383795410253,15,"YuJ_2015","PRJDB4176"
"Clostridium_innocuum",0.747067748993999,17,"YuJ_2015","PRJDB4176"
"Lachnospiraceae_bacterium_3_1_46FAA",2.18840825051923,7,"YuJ_2015","PRJDB4176"
"Bacteroides_caccae",2.00197709313234,9,"YuJ_2015","PRJDB4176"
"Ruminococcus_torques",3.05055859607336,2,"YuJ_2015","PRJDB4176"
"Aggregatibacter_unclassified",0.36602039763364,20,"YuJ_2015","PRJDB4176"
"Clostridium_symbiosum",1.54386249205807,13,"YuJ_2015","PRJDB4176"
"Alloprevotella_tannerae",0.384767039134362,19,"YuJ_2015","PRJDB4176"
"Megamonas_rupellensis",0.911226087110796,16,"YuJ_2015","PRJDB4176"
"Erysipelotrichaceae_bacterium_6_1_45",0.72887102155176,18,"YuJ_2015","PRJDB4176"
"Alistipes_shahii",2.83372094702759,3,"YuJ_2015","PRJDB4176"
"Holdemania_filiformis",1.92450280212992,10,"YuJ_2015","PRJDB4176"
"Eubacterium_eligens",1.72569302202753,12,"YuJ_2015","PRJDB4176"
"Parvimonas_unclassified",3.15426762273351,1,"VogtmannE_2016","PRJDB4176"
"Peptostreptococcus_stomatis",2.83286355418807,4,"VogtmannE_2016","PRJDB4176"
"Anaerotruncus_colihominis",2.59029366874993,6,"VogtmannE_2016","PRJDB4176"
"Parvimonas_micra",1.4337364971027,14,"VogtmannE_2016","PRJDB4176"
"Gemella_morbillorum",2.80111615789028,5,"VogtmannE_2016","PRJDB4176"
"Solobacterium_moorei",2.09443784627003,8,"VogtmannE_2016","PRJDB4176"
"Odoribacter_splanchnicus",1.75543180194361,11,"VogtmannE_2016","PRJDB4176"
"Alistipes_indistinctus",1.1383795410253,15,"VogtmannE_2016","PRJDB4176"
"Clostridium_innocuum",0.747067748993999,17,"VogtmannE_2016","PRJDB4176"
"Lachnospiraceae_bacterium_3_1_46FAA",2.18840825051923,7,"VogtmannE_2016","PRJDB4176"
"Bacteroides_caccae",2.00197709313234,9,"VogtmannE_2016","PRJDB4176"
"Ruminococcus_torques",3.05055859607336,2,"VogtmannE_2016","PRJDB4176"
"Aggregatibacter_unclassified",0.36602039763364,20,"VogtmannE_2016","PRJDB4176"
"Clostridium_symbiosum",1.54386249205807,13,"VogtmannE_2016","PRJDB4176"
"Alloprevotella_tannerae",0.384767039134362,19,"VogtmannE_2016","PRJDB4176"
"Megamonas_rupellensis",0.911226087110796,16,"VogtmannE_2016","PRJDB4176"
"Erysipelotrichaceae_bacterium_6_1_45",0.72887102155176,18,"VogtmannE_2016","PRJDB4176"
"Alistipes_shahii",2.83372094702759,3,"VogtmannE_2016","PRJDB4176"
"Holdemania_filiformis",1.92450280212992,10,"VogtmannE_2016","PRJDB4176"
"Eubacterium_eligens",1.72569302202753,12,"VogtmannE_2016","PRJDB4176"
"Parvimonas_unclassified",3.15426762273351,1,"ThomasAM_2018b","PRJDB4176"
"Peptostreptococcus_stomatis",2.83286355418807,4,"ThomasAM_2018b","PRJDB4176"
"Anaerotruncus_colihominis",2.59029366874993,6,"ThomasAM_2018b","PRJDB4176"
"Parvimonas_micra",1.4337364971027,14,"ThomasAM_2018b","PRJDB4176"
"Gemella_morbillorum",2.80111615789028,5,"ThomasAM_2018b","PRJDB4176"
"Solobacterium_moorei",2.09443784627003,8,"ThomasAM_2018b","PRJDB4176"
"Odoribacter_splanchnicus",1.75543180194361,11,"ThomasAM_2018b","PRJDB4176"
"Alistipes_indistinctus",1.1383795410253,15,"ThomasAM_2018b","PRJDB4176"
"Clostridium_innocuum",0.747067748993999,17,"ThomasAM_2018b","PRJDB4176"
"Lachnospiraceae_bacterium_3_1_46FAA",2.18840825051923,7,"ThomasAM_2018b","PRJDB4176"
"Bacteroides_caccae",2.00197709313234,9,"ThomasAM_2018b","PRJDB4176"
"Ruminococcus_torques",3.05055859607336,2,"ThomasAM_2018b","PRJDB4176"
"Aggregatibacter_unclassified",0.36602039763364,20,"ThomasAM_2018b","PRJDB4176"
"Clostridium_symbiosum",1.54386249205807,13,"ThomasAM_2018b","PRJDB4176"
"Alloprevotella_tannerae",0.384767039134362,19,"ThomasAM_2018b","PRJDB4176"
"Megamonas_rupellensis",0.911226087110796,16,"ThomasAM_2018b","PRJDB4176"
"Erysipelotrichaceae_bacterium_6_1_45",0.72887102155176,18,"ThomasAM_2018b","PRJDB4176"
"Alistipes_shahii",2.83372094702759,3,"ThomasAM_2018b","PRJDB4176"
"Holdemania_filiformis",1.92450280212992,10,"ThomasAM_2018b","PRJDB4176"
"Eubacterium_eligens",1.72569302202753,12,"ThomasAM_2018b","PRJDB4176"
"Parvimonas_unclassified",3.15426762273351,1,"ThomasAM_2018a","PRJDB4176"
"Peptostreptococcus_stomatis",2.83286355418807,4,"ThomasAM_2018a","PRJDB4176"
"Anaerotruncus_colihominis",2.59029366874993,6,"ThomasAM_2018a","PRJDB4176"
"Parvimonas_micra",1.4337364971027,14,"ThomasAM_2018a","PRJDB4176"
"Gemella_morbillorum",2.80111615789028,5,"ThomasAM_2018a","PRJDB4176"
"Solobacterium_moorei",2.09443784627003,8,"ThomasAM_2018a","PRJDB4176"
"Odoribacter_splanchnicus",1.75543180194361,11,"ThomasAM_2018a","PRJDB4176"
"Alistipes_indistinctus",1.1383795410253,15,"ThomasAM_2018a","PRJDB4176"
"Clostridium_innocuum",0.747067748993999,17,"ThomasAM_2018a","PRJDB4176"
"Lachnospiraceae_bacterium_3_1_46FAA",2.18840825051923,7,"ThomasAM_2018a","PRJDB4176"
"Bacteroides_caccae",2.00197709313234,9,"ThomasAM_2018a","PRJDB4176"
"Ruminococcus_torques",3.05055859607336,2,"ThomasAM_2018a","PRJDB4176"
"Aggregatibacter_unclassified",0.36602039763364,20,"ThomasAM_2018a","PRJDB4176"
"Clostridium_symbiosum",1.54386249205807,13,"ThomasAM_2018a","PRJDB4176"
"Alloprevotella_tannerae",0.384767039134362,19,"ThomasAM_2018a","PRJDB4176"
"Megamonas_rupellensis",0.911226087110796,16,"ThomasAM_2018a","PRJDB4176"
"Erysipelotrichaceae_bacterium_6_1_45",0.72887102155176,18,"ThomasAM_2018a","PRJDB4176"
"Alistipes_shahii",2.83372094702759,3,"ThomasAM_2018a","PRJDB4176"
"Holdemania_filiformis",1.92450280212992,10,"ThomasAM_2018a","PRJDB4176"
"Eubacterium_eligens",1.72569302202753,12,"ThomasAM_2018a","PRJDB4176"
"Parvimonas_unclassified",3.15426762273351,1,"FengQ_2015","PRJDB4176"
"Peptostreptococcus_stomatis",2.83286355418807,4,"FengQ_2015","PRJDB4176"
"Anaerotruncus_colihominis",2.59029366874993,6,"FengQ_2015","PRJDB4176"
"Parvimonas_micra",1.4337364971027,14,"FengQ_2015","PRJDB4176"
"Gemella_morbillorum",2.80111615789028,5,"FengQ_2015","PRJDB4176"
"Solobacterium_moorei",2.09443784627003,8,"FengQ_2015","PRJDB4176"
"Odoribacter_splanchnicus",1.75543180194361,11,"FengQ_2015","PRJDB4176"
"Alistipes_indistinctus",1.1383795410253,15,"FengQ_2015","PRJDB4176"
"Clostridium_innocuum",0.747067748993999,17,"FengQ_2015","PRJDB4176"
"Lachnospiraceae_bacterium_3_1_46FAA",2.18840825051923,7,"FengQ_2015","PRJDB4176"
"Bacteroides_caccae",2.00197709313234,9,"FengQ_2015","PRJDB4176"
"Ruminococcus_torques",3.05055859607336,2,"FengQ_2015","PRJDB4176"
"Aggregatibacter_unclassified",0.36602039763364,20,"FengQ_2015","PRJDB4176"
"Clostridium_symbiosum",1.54386249205807,13,"FengQ_2015","PRJDB4176"
"Alloprevotella_tannerae",0.384767039134362,19,"FengQ_2015","PRJDB4176"
"Megamonas_rupellensis",0.911226087110796,16,"FengQ_2015","PRJDB4176"
"Erysipelotrichaceae_bacterium_6_1_45",0.72887102155176,18,"FengQ_2015","PRJDB4176"
"Alistipes_shahii",2.83372094702759,3,"FengQ_2015","PRJDB4176"
"Holdemania_filiformis",1.92450280212992,10,"FengQ_2015","PRJDB4176"
"Eubacterium_eligens",1.72569302202753,12,"FengQ_2015","PRJDB4176"
"Parvimonas_unclassified",3.75106450397928,1,"PRJDB4176","PRJDB4176"
"Peptostreptococcus_stomatis",1.85638898242779,2,"PRJDB4176","PRJDB4176"
"Anaerotruncus_colihominis",0.740859783468296,15,"PRJDB4176","PRJDB4176"
"Parvimonas_micra",1.08035161098779,9,"PRJDB4176","PRJDB4176"
"Gemella_morbillorum",1.80703055141229,3,"PRJDB4176","PRJDB4176"
"Solobacterium_moorei",1.30932452589543,6,"PRJDB4176","PRJDB4176"
"Odoribacter_splanchnicus",0.783503198820901,14,"PRJDB4176","PRJDB4176"
"Alistipes_indistinctus",0.544402556395426,16,"PRJDB4176","PRJDB4176"
"Clostridium_innocuum",0.853811375540471,12,"PRJDB4176","PRJDB4176"
"Lachnospiraceae_bacterium_3_1_46FAA",0.791340277668733,13,"PRJDB4176","PRJDB4176"
"Bacteroides_caccae",1.5978231472409,4,"PRJDB4176","PRJDB4176"
"Ruminococcus_torques",1.45927362897254,5,"PRJDB4176","PRJDB4176"
"Aggregatibacter_unclassified",0.194546046787912,20,"PRJDB4176","PRJDB4176"
"Clostridium_symbiosum",0.892345937918781,11,"PRJDB4176","PRJDB4176"
"Alloprevotella_tannerae",0.202671599743261,19,"PRJDB4176","PRJDB4176"
"Megamonas_rupellensis",0.46158978207204,18,"PRJDB4176","PRJDB4176"
"Erysipelotrichaceae_bacterium_6_1_45",0.506489660631477,17,"PRJDB4176","PRJDB4176"
"Alistipes_shahii",1.23572782031488,7,"PRJDB4176","PRJDB4176"
"Holdemania_filiformis",1.12414678254869,8,"PRJDB4176","PRJDB4176"
