"rowname","MeanDecreaseGini","Rank","Study","RepeatTimes","Fold","FeatureCount"
"Clostridiales_bacterium_1_7_47FAA",1.22679383072585,13,"PRJEB27928",10,4,50
"Fusobacterium_nucleatum",0.946026867113932,18,"PRJEB27928",10,4,50
"Clostridiaceae_bacterium_JC118",0.815850191146762,25,"PRJEB27928",10,4,50
"Clostridium_hathewayi",1.56628892358627,5,"PRJEB27928",10,4,50
"Rothia_dentocariosa",0.322336038225682,45,"PRJEB27928",10,4,50
"Subdoligranulum_variabile",1.44018961404916,9,"PRJEB27928",10,4,50
"Butyrivibrio_unclassified",0.427648990137658,40,"PRJEB27928",10,4,50
"Subdoligranulum_sp_4_3_54A2FAA",0.816744463059526,24,"PRJEB27928",10,4,50
"Deinococcus_unclassified",0.296990691474941,46,"PRJEB27928",10,4,50
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.75132336163581,4,"PRJEB27928",10,4,50
"Peptostreptococcus_unclassified",0.570741112924391,31,"PRJEB27928",10,4,50
"Streptococcus_mitis_oralis_pneumoniae",0.938416495926964,19,"PRJEB27928",10,4,50
"Clostridium_scindens",0.82211000804537,23,"PRJEB27928",10,4,50
"Mitsuokella_unclassified",0.497200306168362,36,"PRJEB27928",10,4,50
"Butyricimonas_synergistica",0.238749322264684,48,"PRJEB27928",10,4,50
"Oxalobacter_formigenes",0.951344960428492,17,"PRJEB27928",10,4,50
"Campylobacter_ureolyticus",0.174550696015391,49,"PRJEB27928",10,4,50
"Granulicatella_adiacens",0.823039732751861,22,"PRJEB27928",10,4,50
"Bacteroides_nordii",0.488719403724632,39,"PRJEB27928",10,4,50
"Porphyromonas_uenonis",0.508443606646981,35,"PRJEB27928",10,4,50
"Clostridium_bolteae",1.24990652292649,10,"PRJEB27928",10,4,50
"Eubacterium_infirmum",0.379557451381119,42,"PRJEB27928",10,4,50
"Bacteroides_ovatus",1.10124424341797,15,"PRJEB27928",10,4,50
"Clostridium_citroniae",0.770827306333509,28,"PRJEB27928",10,4,50
"Blautia_hydrogenotrophica",0.290377881831413,47,"PRJEB27928",10,4,50
"Streptococcus_anginosus",1.47309373215745,8,"PRJEB27928",10,4,50
"Lachnospiraceae_bacterium_1_4_56FAA",0.357754296642454,44,"PRJEB27928",10,4,50
"Porphyromonas_somerae",0.511834212683264,34,"PRJEB27928",10,4,50
"candidate_division_TM7_single_cell_isolate_TM7c",0.360993327962437,43,"PRJEB27928",10,4,50
"Streptococcus_cristatus",0.136110511693806,50,"PRJEB27928",10,4,50
"Megasphaera_unclassified",0.638058568107213,30,"PRJEB27928",10,4,50
"Scardovia_wiggsiae",0.489301176582807,38,"PRJEB27928",10,4,50
"Eggerthella_lenta",0.4052454362164,41,"PRJEB27928",10,4,50
"Bacteroides_coprocola",0.542574631222252,32,"PRJEB27928",10,4,50
"Coprobacillus_unclassified",0.681748023201773,29,"PRJEB27928",10,4,50
"Gemella_sanguinis",0.77875446237837,26,"PRJEB27928",10,4,50
"Faecalibacterium_prausnitzii",0.913942377474935,20,"PRJEB27928",10,4,50
"Olsenella_unclassified",0.493262743354231,37,"PRJEB27928",10,4,50
"Clostridium_bartlettii",0.528397877836369,33,"PRJEB27928",10,4,50
"Clostridium_clostridioforme",1.36150188149487,9,"PRJEB27928",10,3,50
"Parvimonas_unclassified",1.86344532309378,3,"PRJEB27928",10,3,50
"Anaerotruncus_unclassified",2.71468481133221,1,"PRJEB27928",10,3,50
"Parvimonas_micra",1.09342869202216,16,"PRJEB27928",10,3,50
"Solobacterium_moorei",1.81966623880231,4,"PRJEB27928",10,3,50
"Peptostreptococcus_stomatis",1.11497642191145,15,"PRJEB27928",10,3,50
"Gemella_morbillorum",0.763986272071507,27,"PRJEB27928",10,3,50
"Ruminococcus_albus",1.33982921399471,10,"PRJEB27928",10,3,50
"Clostridium_symbiosum",1.56467752793143,6,"PRJEB27928",10,3,50
"Porphyromonas_asaccharolytica",1.13302741629102,14,"PRJEB27928",10,3,50
"Ruminococcus_torques",1.43868999981993,8,"PRJEB27928",10,3,50
"Clostridiales_bacterium_1_7_47FAA",1.52664125719801,7,"PRJEB27928",10,3,50
"Fusobacterium_nucleatum",0.979008805660821,20,"PRJEB27928",10,3,50
"Clostridiaceae_bacterium_JC118",1.05269684390065,17,"PRJEB27928",10,3,50
"Clostridium_hathewayi",2.16407105886925,2,"PRJEB27928",10,3,50
"Rothia_dentocariosa",0.640112695999481,28,"PRJEB27928",10,3,50
"Subdoligranulum_variabile",1.30313967925052,12,"PRJEB27928",10,3,50
"Butyrivibrio_unclassified",0.320188594256032,44,"PRJEB27928",10,3,50
"Subdoligranulum_sp_4_3_54A2FAA",0.569572120137161,30,"PRJEB27928",10,3,50
"Deinococcus_unclassified",0.328758039490068,43,"PRJEB27928",10,3,50
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.69837340118704,5,"PRJEB27928",10,3,50
"Peptostreptococcus_unclassified",0.539612173753638,32,"PRJEB27928",10,3,50
"Streptococcus_mitis_oralis_pneumoniae",0.904737399474385,24,"PRJEB27928",10,3,50
"Clostridium_scindens",0.992447016930061,18,"PRJEB27928",10,3,50
"Mitsuokella_unclassified",0.334387644770568,42,"PRJEB27928",10,3,50
"Butyricimonas_synergistica",0.362954814925238,41,"PRJEB27928",10,3,50
"Oxalobacter_formigenes",0.982749874018044,19,"PRJEB27928",10,3,50
"Campylobacter_ureolyticus",0.293114179002949,47,"PRJEB27928",10,3,50
"Granulicatella_adiacens",0.78403622744717,26,"PRJEB27928",10,3,50
"Bacteroides_nordii",0.928854549588851,22,"PRJEB27928",10,3,50
"Porphyromonas_uenonis",0.484414107328909,36,"PRJEB27928",10,3,50
"Clostridium_bolteae",1.32562350011293,11,"PRJEB27928",10,3,50
"Eubacterium_infirmum",0.275622029763822,48,"PRJEB27928",10,3,50
"Bacteroides_ovatus",0.806048336543663,25,"PRJEB27928",10,3,50
"Clostridium_citroniae",1.16602927537113,13,"PRJEB27928",10,3,50
"Blautia_hydrogenotrophica",0.30527731962119,45,"PRJEB27928",10,3,50
"Streptococcus_anginosus",0.93247012287599,21,"PRJEB27928",10,3,50
"Lachnospiraceae_bacterium_1_4_56FAA",0.238328678756618,49,"PRJEB27928",10,3,50
"Porphyromonas_somerae",0.504603445156609,34,"PRJEB27928",10,3,50
"candidate_division_TM7_single_cell_isolate_TM7c",0.297528563229774,46,"PRJEB27928",10,3,50
"Streptococcus_cristatus",0.108349252071763,50,"PRJEB27928",10,3,50
"Megasphaera_unclassified",0.551732313605028,31,"PRJEB27928",10,3,50
"Scardovia_wiggsiae",0.42276022218439,39,"PRJEB27928",10,3,50
"Eggerthella_lenta",0.574733370420403,29,"PRJEB27928",10,3,50
"Bacteroides_coprocola",0.473009503068704,37,"PRJEB27928",10,3,50
"Coprobacillus_unclassified",0.530968457515804,33,"PRJEB27928",10,3,50
"Gemella_sanguinis",0.372574195192687,40,"PRJEB27928",10,3,50
"Faecalibacterium_prausnitzii",0.920652877530988,23,"PRJEB27928",10,3,50
"Olsenella_unclassified",0.490052690293289,35,"PRJEB27928",10,3,50
"Clostridium_bartlettii",0.44988185999974,38,"PRJEB27928",10,3,50
"Clostridium_clostridioforme",1.01055208814302,20,"PRJEB27928",10,2,50
"Parvimonas_unclassified",1.47223478129303,8,"PRJEB27928",10,2,50
"Anaerotruncus_unclassified",2.73211354034977,1,"PRJEB27928",10,2,50
"Parvimonas_micra",1.44168993043197,9,"PRJEB27928",10,2,50
"Solobacterium_moorei",2.06870779588437,2,"PRJEB27928",10,2,50
"Peptostreptococcus_stomatis",1.29666569524822,12,"PRJEB27928",10,2,50
"Gemella_morbillorum",0.86487505727704,23,"PRJEB27928",10,2,50
"Ruminococcus_albus",1.65211194879984,4,"PRJEB27928",10,2,50
"Clostridium_symbiosum",1.16925862536617,15,"PRJEB27928",10,2,50
"Porphyromonas_asaccharolytica",1.36085543862919,10,"PRJEB27928",10,2,50
"Ruminococcus_torques",1.99405020520825,3,"PRJEB27928",10,2,50
"Clostridiales_bacterium_1_7_47FAA",1.1838613421219,13,"PRJEB27928",10,2,50
"Fusobacterium_nucleatum",0.938478420051534,21,"PRJEB27928",10,2,50
"Clostridiaceae_bacterium_JC118",0.784044209231733,25,"PRJEB27928",10,2,50
"Clostridium_hathewayi",1.6139371561728,5,"PRJEB27928",10,2,50
"Rothia_dentocariosa",0.484585735403532,36,"PRJEB27928",10,2,50
"Subdoligranulum_variabile",1.4801685301388,7,"PRJEB27928",10,2,50
"Butyrivibrio_unclassified",0.568188952759202,31,"PRJEB27928",10,2,50
"Subdoligranulum_sp_4_3_54A2FAA",0.448093125380133,37,"PRJEB27928",10,2,50
"Deinococcus_unclassified",0.559734850522731,32,"PRJEB27928",10,2,50
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.50665203643924,6,"PRJEB27928",10,2,50
"Peptostreptococcus_unclassified",0.438791733979015,38,"PRJEB27928",10,2,50
"Streptococcus_mitis_oralis_pneumoniae",0.823423392768953,24,"PRJEB27928",10,2,50
"Clostridium_scindens",1.10165510916443,17,"PRJEB27928",10,2,50
"Mitsuokella_unclassified",0.365872629114821,44,"PRJEB27928",10,2,50
"Butyricimonas_synergistica",0.372658015093354,43,"PRJEB27928",10,2,50
"Oxalobacter_formigenes",0.876478679147337,22,"PRJEB27928",10,2,50
"Campylobacter_ureolyticus",0.348284107993593,45,"PRJEB27928",10,2,50
"Granulicatella_adiacens",0.767809124001678,26,"PRJEB27928",10,2,50
"Bacteroides_nordii",0.557817251801711,33,"PRJEB27928",10,2,50
"Porphyromonas_uenonis",0.410964998019529,41,"PRJEB27928",10,2,50
"Clostridium_bolteae",1.35873241122434,11,"PRJEB27928",10,2,50
"Eubacterium_infirmum",0.428420077454316,40,"PRJEB27928",10,2,50
"Bacteroides_ovatus",1.04467360087245,19,"PRJEB27928",10,2,50
"Clostridium_citroniae",1.11297733020827,16,"PRJEB27928",10,2,50
"Blautia_hydrogenotrophica",0.374650877727459,42,"PRJEB27928",10,2,50
"Streptococcus_anginosus",1.06228065236266,18,"PRJEB27928",10,2,50
"Lachnospiraceae_bacterium_1_4_56FAA",0.322905328643265,46,"PRJEB27928",10,2,50
"Porphyromonas_somerae",0.152911261785314,50,"PRJEB27928",10,2,50
"candidate_division_TM7_single_cell_isolate_TM7c",0.284483980705679,47,"PRJEB27928",10,2,50
"Streptococcus_cristatus",0.249851071558035,49,"PRJEB27928",10,2,50
"Megasphaera_unclassified",0.485155116293406,35,"PRJEB27928",10,2,50
"Scardovia_wiggsiae",0.250138417458757,48,"PRJEB27928",10,2,50
"Eggerthella_lenta",0.592094836024781,30,"PRJEB27928",10,2,50
"Bacteroides_coprocola",0.664097456127405,28,"PRJEB27928",10,2,50
"Coprobacillus_unclassified",0.431697043613873,39,"PRJEB27928",10,2,50
"Gemella_sanguinis",0.4930004951464,34,"PRJEB27928",10,2,50
"Faecalibacterium_prausnitzii",1.17022103755144,14,"PRJEB27928",10,2,50
"Olsenella_unclassified",0.59677243269966,29,"PRJEB27928",10,2,50
"Clostridium_bartlettii",0.720437224191454,27,"PRJEB27928",10,2,50
"Clostridium_clostridioforme",0.815675548933788,22,"PRJEB27928",10,1,50
"Parvimonas_unclassified",1.79118968207058,4,"PRJEB27928",10,1,50
"Anaerotruncus_unclassified",2.32016907832272,2,"PRJEB27928",10,1,50
"Parvimonas_micra",1.32396811704536,8,"PRJEB27928",10,1,50
"Solobacterium_moorei",2.35911937560092,1,"PRJEB27928",10,1,50
"Peptostreptococcus_stomatis",1.12560634387886,14,"PRJEB27928",10,1,50
"Gemella_morbillorum",0.780292218330803,24,"PRJEB27928",10,1,50
"Ruminococcus_albus",1.29562532313811,11,"PRJEB27928",10,1,50
"Clostridium_symbiosum",1.78776521428647,5,"PRJEB27928",10,1,50
"Porphyromonas_asaccharolytica",0.966130759959901,17,"PRJEB27928",10,1,50
"Ruminococcus_torques",1.90206020917817,3,"PRJEB27928",10,1,50
"Clostridiales_bacterium_1_7_47FAA",1.16553783934679,13,"PRJEB27928",10,1,50
"Fusobacterium_nucleatum",1.0926572737292,16,"PRJEB27928",10,1,50
"Clostridiaceae_bacterium_JC118",0.675140899434552,30,"PRJEB27928",10,1,50
"Clostridium_hathewayi",1.64848624252136,7,"PRJEB27928",10,1,50
"Rothia_dentocariosa",0.765056691127492,26,"PRJEB27928",10,1,50
"Subdoligranulum_variabile",1.25785886344661,12,"PRJEB27928",10,1,50
"Butyrivibrio_unclassified",0.348314092695195,44,"PRJEB27928",10,1,50
"Subdoligranulum_sp_4_3_54A2FAA",0.451819537145586,39,"PRJEB27928",10,1,50
"Deinococcus_unclassified",0.360172673695058,43,"PRJEB27928",10,1,50
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.32194434104307,9,"PRJEB27928",10,1,50
"Peptostreptococcus_unclassified",0.750634371147737,28,"PRJEB27928",10,1,50
"Streptococcus_mitis_oralis_pneumoniae",1.31802886476613,10,"PRJEB27928",10,1,50
"Clostridium_scindens",1.12178710797476,15,"PRJEB27928",10,1,50
"Mitsuokella_unclassified",0.373648088080673,41,"PRJEB27928",10,1,50
"Butyricimonas_synergistica",0.14230443106304,50,"PRJEB27928",10,1,50
"Oxalobacter_formigenes",0.635516361902555,32,"PRJEB27928",10,1,50
"Campylobacter_ureolyticus",0.250782952756171,49,"PRJEB27928",10,1,50
"Granulicatella_adiacens",0.739585733893042,29,"PRJEB27928",10,1,50
"Bacteroides_nordii",0.360912402548415,42,"PRJEB27928",10,1,50
"Porphyromonas_uenonis",0.542073788705131,34,"PRJEB27928",10,1,50
"Clostridium_bolteae",1.69596174516447,6,"PRJEB27928",10,1,50
"Eubacterium_infirmum",0.620579197951579,33,"PRJEB27928",10,1,50
"Bacteroides_ovatus",0.943637561697619,19,"PRJEB27928",10,1,50
"Clostridium_citroniae",0.766413829789833,25,"PRJEB27928",10,1,50
"Blautia_hydrogenotrophica",0.461856657383602,38,"PRJEB27928",10,1,50
"Streptococcus_anginosus",0.948286565628725,18,"PRJEB27928",10,1,50
"Lachnospiraceae_bacterium_1_4_56FAA",0.32621556616642,45,"PRJEB27928",10,1,50
"Porphyromonas_somerae",0.28630834850227,47,"PRJEB27928",10,1,50
"candidate_division_TM7_single_cell_isolate_TM7c",0.523316985631664,35,"PRJEB27928",10,1,50
"Streptococcus_cristatus",0.306895702283983,46,"PRJEB27928",10,1,50
"Megasphaera_unclassified",0.502061901802381,36,"PRJEB27928",10,1,50
"Scardovia_wiggsiae",0.263675398091542,48,"PRJEB27928",10,1,50
"Eggerthella_lenta",0.906891703204671,20,"PRJEB27928",10,1,50
"Bacteroides_coprocola",0.474671444811656,37,"PRJEB27928",10,1,50
"Coprobacillus_unclassified",0.782860056833447,23,"PRJEB27928",10,1,50
"Gemella_sanguinis",0.650859384111725,31,"PRJEB27928",10,1,50
"Faecalibacterium_prausnitzii",0.818627938038601,21,"PRJEB27928",10,1,50
"Olsenella_unclassified",0.386954194465421,40,"PRJEB27928",10,1,50
"Clostridium_bartlettii",0.76232662486915,27,"PRJEB27928",10,1,50
"Clostridium_clostridioforme",1.27148794092567,10,"PRJEB27928",9,5,50
"Parvimonas_unclassified",1.56348322931298,7,"PRJEB27928",9,5,50
"Anaerotruncus_unclassified",2.21159745013288,1,"PRJEB27928",9,5,50
"Parvimonas_micra",0.802279088913172,26,"PRJEB27928",9,5,50
"Solobacterium_moorei",1.78544132128961,3,"PRJEB27928",9,5,50
"Peptostreptococcus_stomatis",1.07088849058471,19,"PRJEB27928",9,5,50
"Gemella_morbillorum",1.10609109683377,17,"PRJEB27928",9,5,50
"Ruminococcus_albus",1.2275964359398,12,"PRJEB27928",9,5,50
"Clostridium_symbiosum",1.12412516039473,15,"PRJEB27928",9,5,50
"Porphyromonas_asaccharolytica",1.28221024583269,9,"PRJEB27928",9,5,50
"Ruminococcus_torques",1.80355968082473,2,"PRJEB27928",9,5,50
"Clostridiales_bacterium_1_7_47FAA",1.59122733440796,6,"PRJEB27928",9,5,50
"Fusobacterium_nucleatum",0.980974436293519,22,"PRJEB27928",9,5,50
"Clostridiaceae_bacterium_JC118",0.937667145294612,23,"PRJEB27928",9,5,50
"Clostridium_hathewayi",1.64043385370227,5,"PRJEB27928",9,5,50
"Rothia_dentocariosa",0.638462730056853,30,"PRJEB27928",9,5,50
"Subdoligranulum_variabile",1.37675196294168,8,"PRJEB27928",9,5,50
"Butyrivibrio_unclassified",0.529781054161531,35,"PRJEB27928",9,5,50
"Subdoligranulum_sp_4_3_54A2FAA",0.402473071122523,41,"PRJEB27928",9,5,50
"Deinococcus_unclassified",0.373590309630828,45,"PRJEB27928",9,5,50
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.66482678328258,4,"PRJEB27928",9,5,50
"Peptostreptococcus_unclassified",0.392564612277981,43,"PRJEB27928",9,5,50
"Streptococcus_mitis_oralis_pneumoniae",1.07846295941181,18,"PRJEB27928",9,5,50
"Clostridium_scindens",1.16233159326991,14,"PRJEB27928",9,5,50
"Mitsuokella_unclassified",0.569448773397311,33,"PRJEB27928",9,5,50
"Butyricimonas_synergistica",0.39485177065732,42,"PRJEB27928",9,5,50
"Oxalobacter_formigenes",0.802999134448809,25,"PRJEB27928",9,5,50
"Campylobacter_ureolyticus",0.173445696988747,50,"PRJEB27928",9,5,50
"Granulicatella_adiacens",1.00455582209687,21,"PRJEB27928",9,5,50
"Bacteroides_nordii",0.659879079015914,29,"PRJEB27928",9,5,50
"Porphyromonas_uenonis",0.441607602148363,39,"PRJEB27928",9,5,50
"Clostridium_bolteae",1.12231566484025,16,"PRJEB27928",9,5,50
"Eubacterium_infirmum",0.267230003693663,49,"PRJEB27928",9,5,50
"Bacteroides_ovatus",0.750777123665923,28,"PRJEB27928",9,5,50
"Clostridium_citroniae",1.23965953117168,11,"PRJEB27928",9,5,50
"Blautia_hydrogenotrophica",0.420545350447529,40,"PRJEB27928",9,5,50
"Streptococcus_anginosus",1.21914223582211,13,"PRJEB27928",9,5,50
"Lachnospiraceae_bacterium_1_4_56FAA",0.377626472620845,44,"PRJEB27928",9,5,50
"Porphyromonas_somerae",0.354285457182954,46,"PRJEB27928",9,5,50
"candidate_division_TM7_single_cell_isolate_TM7c",0.304585565580173,47,"PRJEB27928",9,5,50
"Streptococcus_cristatus",0.304463722929261,48,"PRJEB27928",9,5,50
"Megasphaera_unclassified",0.583441582301265,32,"PRJEB27928",9,5,50
"Scardovia_wiggsiae",0.466003418784132,38,"PRJEB27928",9,5,50
"Eggerthella_lenta",0.781116874702381,27,"PRJEB27928",9,5,50
"Bacteroides_coprocola",0.467526206872701,37,"PRJEB27928",9,5,50
"Coprobacillus_unclassified",0.54459390918163,34,"PRJEB27928",9,5,50
"Gemella_sanguinis",0.837793206228463,24,"PRJEB27928",9,5,50
"Faecalibacterium_prausnitzii",1.02146645447649,20,"PRJEB27928",9,5,50
"Olsenella_unclassified",0.518874965700333,36,"PRJEB27928",9,5,50
"Clostridium_bartlettii",0.59732841724157,31,"PRJEB27928",9,5,50
"Clostridium_clostridioforme",1.29717421817762,10,"PRJEB27928",9,4,50
"Parvimonas_unclassified",2.28730491127179,2,"PRJEB27928",9,4,50
"Anaerotruncus_unclassified",2.63824715028455,1,"PRJEB27928",9,4,50
"Parvimonas_micra",1.01745171225894,19,"PRJEB27928",9,4,50
"Solobacterium_moorei",1.88128946748599,3,"PRJEB27928",9,4,50
"Peptostreptococcus_stomatis",1.12641552574631,15,"PRJEB27928",9,4,50
"Gemella_morbillorum",1.00610591096574,20,"PRJEB27928",9,4,50
"Ruminococcus_albus",1.12415521497687,16,"PRJEB27928",9,4,50
"Clostridium_symbiosum",0.986501576945703,21,"PRJEB27928",9,4,50
"Porphyromonas_asaccharolytica",1.0194432230688,18,"PRJEB27928",9,4,50
"Ruminococcus_torques",1.84493399896539,4,"PRJEB27928",9,4,50
"Clostridiales_bacterium_1_7_47FAA",1.46566937297768,8,"PRJEB27928",9,4,50
"Fusobacterium_nucleatum",1.16089370286903,14,"PRJEB27928",9,4,50
"Clostridiaceae_bacterium_JC118",0.42895226176853,38,"PRJEB27928",9,4,50
"Clostridium_hathewayi",1.50528036670426,6,"PRJEB27928",9,4,50
"Rothia_dentocariosa",0.574130150518875,30,"PRJEB27928",9,4,50
"Subdoligranulum_variabile",1.47826902293878,7,"PRJEB27928",9,4,50
"Butyrivibrio_unclassified",0.413254638517379,42,"PRJEB27928",9,4,50
"Subdoligranulum_sp_4_3_54A2FAA",0.489965331766044,33,"PRJEB27928",9,4,50
"Deinococcus_unclassified",0.316761397936498,45,"PRJEB27928",9,4,50
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",1.81466241278352,5,"PRJEB27928",9,4,50
"Peptostreptococcus_unclassified",0.542706113871895,32,"PRJEB27928",9,4,50
"Streptococcus_mitis_oralis_pneumoniae",1.21758462133416,13,"PRJEB27928",9,4,50
"Clostridium_scindens",1.24709284645428,11,"PRJEB27928",9,4,50
"Mitsuokella_unclassified",0.474583631469872,34,"PRJEB27928",9,4,50
"Butyricimonas_synergistica",0.125425250554071,50,"PRJEB27928",9,4,50
"Oxalobacter_formigenes",0.769149744753001,27,"PRJEB27928",9,4,50
"Campylobacter_ureolyticus",0.305826377073129,46,"PRJEB27928",9,4,50
"Granulicatella_adiacens",0.793533117224717,25,"PRJEB27928",9,4,50
"Bacteroides_nordii",0.609256085025107,29,"PRJEB27928",9,4,50
"Porphyromonas_uenonis",0.54816149011105,31,"PRJEB27928",9,4,50
"Clostridium_bolteae",1.38835806865514,9,"PRJEB27928",9,4,50
"Eubacterium_infirmum",0.428446064861549,39,"PRJEB27928",9,4,50
"Bacteroides_ovatus",1.09552120027672,17,"PRJEB27928",9,4,50
"Clostridium_citroniae",0.879571470280302,24,"PRJEB27928",9,4,50
"Blautia_hydrogenotrophica",0.272380394523808,47,"PRJEB27928",9,4,50
"Streptococcus_anginosus",1.22887441000484,12,"PRJEB27928",9,4,50
"Lachnospiraceae_bacterium_1_4_56FAA",0.338120026341372,44,"PRJEB27928",9,4,50
"Porphyromonas_somerae",0.464758968016993,35,"PRJEB27928",9,4,50
"candidate_division_TM7_single_cell_isolate_TM7c",0.254818686941756,48,"PRJEB27928",9,4,50
"Streptococcus_cristatus",0.19190394445602,49,"PRJEB27928",9,4,50
"Megasphaera_unclassified",0.440556250933781,36,"PRJEB27928",9,4,50
"Scardovia_wiggsiae",0.427335877247332,41,"PRJEB27928",9,4,50
"Eggerthella_lenta",0.411797048936155,43,"PRJEB27928",9,4,50
"Bacteroides_coprocola",0.437605389827834,37,"PRJEB27928",9,4,50
"Coprobacillus_unclassified",0.776287580106307,26,"PRJEB27928",9,4,50
"Gemella_sanguinis",0.927456644267683,22,"PRJEB27928",9,4,50
"Faecalibacterium_prausnitzii",0.912585335630554,23,"PRJEB27928",9,4,50
